Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3601","45.9"
"1079000","0","3572","54.9"
"2158000","2272700","3575","63.8"
"3243000","2272700","3578","72.8"
"4322000","2272700","3582","81.3"
"5662000","2272700","3580","92.3"
"6741000","2272700","3579","101.3"
"7821000","2272700","3586","110.7"
"8900000","2272700","3585","118.8"
"9978000","2269900","3585","127.7"
"11313000","2269900","3589","139.1"
"12391000","2269900","3588","147.3"
"13475000","2269900","3588","156.2"
"14555000","2269900","3591","165.6"
"15634000","2269900","3589","174.1"
"16968000","2269900","3591","184.7"
"18047000","2269800","3590","193.7"
"19126000","2269800","3592","203.0"
"20205000","2269800","3593","212.0"
"21285000","2269800","3593","220.5"
"22625000","2269800","3594","231.5"
"23703000","2269800","3592","240.1"
"24782000","2269800","3592","249.0"
"25861000","2271400","3591","257.6"
"26940000","2271400","3591","266.5"
"28275000","2271400","3591","277.5"
"29355000","2271400","3591","286.5"
"30433000","2271400","3590","295.4"
"31512000","2271400","3590","304.0"
"32591000","2271400","3590","312.9"
"33931000","2269600","3591","323.5"
"35011000","2269600","3590","332.5"
"36089000","2269600","3591","341.8"
"37169000","2269600","3591","350.8"
"38248000","2269600","3590","359.3"
"39583000","2269600","3591","370.3"
"40662000","2269600","3589","378.9"
"41741000","2287300","3589","387.8"
"42826000","2287300","3589","396.8"
"43904000","2287300","3589","405.3"
"45239000","2287300","3590","416.7"
"46318000","2287300","3589","425.3"
"47403000","2287300","3589","434.2"
"48482000","2287300","3590","442.8"
"49560000","2270100","3589","451.7"
"50896000","2270100","3589","462.7"
"51974000","2270100","3590","471.3"
"53060000","2270100","3590","480.6"
"54139000","2270100","3590","489.2"
"55218000","2270100","3591","498.1"
"56552000","2270100","3590","509.1"
"57632000","2269000","3591","517.7"
"58711000","2269000","3591","526.6"
"59790000","2269000","3591","535.2"
"60869000","2269000","3591","544.1"
"62204000","2269000","3592","555.5"
"63288000","2269000","3591","564.1"
"64366000","2269000","3591","573.0"
"65445000","2271600","3591","581.6"
"66525000","2271600","3590","590.5"
"67860000","2271600","3590","601.1"
"68939000","2271600","3590","610.5"
"70019000","2271600","3590","619.0"
"71098000","2271600","3589","628.0"
"72178000","2271600","3590","636.9"
"73518000","2268700","3588","647.5"
"74597000","2268700","3589","656.4"
"75676000","2268700","3589","665.8"
"76756000","2268700","3588","673.9"
"77835000","2268700","3588","682.9"
"79170000","2268700","3588","694.3"
"80249000","2268700","3589","702.4"
"81327000","2273100","3588","711.4"
"82407000","2273100","3589","720.3"
"83490000","2273100","3589","729.7"
"84825000","2273100","3589","739.9"
"85904000","2273100","3588","748.8"
"86983000","2273100","3589","757.8"
"88062000","2273100","3589","766.7"
"89145000","2270300","3589","775.3"
"90480000","2270300","3589","786.7"
"91560000","2270300","3589","795.6"
"92645000","2270300","3588","804.2"
"93723000","2270300","3588","813.1"
"94803000","2270300","3589","821.7"
"96137000","2270300","3588","832.7"
"97216000","2283300","3588","841.6"
"98295000","2283300","3589","850.2"
"99374000","2283300","3588","859.1"
"100453000","2283300","3588","868.1"
"101787000","2283300","3588","878.7"
"102872000","2283300","3588","887.6"
"103951000","2283300","3588","897.0"
"105029000","2271800","3587","905.5"
"106108000","2271800","3588","914.5"
"107442000","2271800","3588","925.1"
"108521000","2271800","3587","934.0"
"109600000","2271800","3587","943.0"
"110678000","2271800","3586","951.5"
"111758000","2271800","3586","960.5"
"113098000","2270000","3586","971.5"
"114178000","2270000","3586","980.4"
"115256000","2270000","3586","989.0"
"116336000","2270000","3586","997.9"
"117415000","2270000","3587","1007.3"
"118748000","2270000","3587","1017.5"
"119826000","2270000","3587","1026.8"
"120906000","2273300","3587","1035.4"
"121986000","2273300","3587","1044.3"
"123070000","2273300","3587","1052.9"
"124405000","2273300","3587","1063.9"
"125485000","2273300","3586","1072.8"
"126564000","2273300","3587","1081.8"
"127643000","2273300","3587","1090.3"
"128722000","2270900","3586","1099.3"
"130058000","2270900","3587","1110.3"
"131141000","2270900","3587","1119.2"
"132220000","2270900","3586","1127.8"
"133305000","2270900","3586","1136.7"
"134384000","2270900","3586","1145.7"
"135719000","2270900","3586","1156.2"
"136798000","2267800","3585","1165.2"
"137877000","2267800","3586","1174.6"
"138957000","2267800","3586","1182.7"
"140037000","2267800","3586","1192.1"
"141371000","2267800","3585","1202.6"
"142451000","2267800","3585","1211.6"
"143536000","2267800","3587","1220.1"
"144615000","2270700","3586","1229.1"
"145695000","2270700","3586","1238.1"
"147029000","2270700","3585","1249.0"
"148108000","2270700","3584","1257.6"
"149186000","2270700","3585","1266.5"
"150266000","2270700","3585","1275.5"
"151345000","2270700","3585","1284.0"
"152684000","2269800","3585","1295.0"
"153764000","2269800","3585","1304.0"
"154843000","2269800","3585","1312.9"
"155922000","2269800","3586","1321.5"
"157001000","2269800","3586","1330.9"
"158335000","2269800","3586","1341.4"
"159414000","2269800","3587","1350.8"
"160493000","2273100","3587","1358.9"
"161573000","2273100","3587","1367.9"
"162658000","2273100","3586","1376.8"
"163993000","2273100","3587","1387.8"
"165072000","2273100","3587","1396.8"
"166151000","2273100","3588","1405.3"
"167230000","2273100","3588","1414.3"
"168309000","2285600","3588","1423.2"
"169644000","2285600","3588","1434.2"
"170722000","2285600","3587","1443.2"
"171801000","2285600","3588","1452.1"
"172886000","2285600","3588","1460.7"
"173970000","2285600","3588","1469.2"
"175305000","2285600","3587","1480.2"
"176384000","2268100","3588","1489.2"
"177463000","2268100","3587","1498.1"
"178542000","2268100","3587","1507.5"
"179620000","2268100","3588","1516.0"
"180955000","2268100","3588","1526.6"
"182034000","2268100","3588","1535.6"
"183118000","2268100","3588","1544.1"
"184198000","2271400","3587","1553.1"
"185278000","2271400","3588","1562.0"
"186613000","2271400","3588","1572.6"
"187692000","2271400","3588","1582.0"
