Time,Voltage (V),Current (A),Power (W),Temperature (°C),Data+ (V),Data- (V),Resistance (Ω),Accumulated current (mAh),Accumulated power (mWh),Accumulated time (seconds)
2020-09-27 01:08:38,5.216,0.5434,2.834,23.0,1.03,0.49,9.5,59427,98688,245363
2020-09-27 01:08:40,5.217,0.5436,2.835,23.0,1.03,0.49,9.5,59428,98689,245365
2020-09-27 01:08:41,5.21,0.5759,3.0,23.0,1.03,0.49,9.0,59428,98690,245366
2020-09-27 01:08:42,5.192,0.6924,3.594,23.0,1.03,0.49,7.4,59428,98691,245367
2020-09-27 01:08:44,5.192,0.6925,3.595,23.0,1.03,0.49,7.4,59428,98693,245369
2020-09-27 01:08:45,5.192,0.6944,3.605,23.0,1.03,0.49,7.4,59428,98694,245370
2020-09-27 01:08:46,5.192,0.6682,3.469,23.0,1.03,0.49,7.7,59429,98695,245371
2020-09-27 01:08:48,5.2,0.6224,3.236,23.0,1.02,0.49,8.3,59429,98697,245373
2020-09-27 01:08:49,5.203,0.6255,3.254,23.0,1.01,0.49,8.3,59429,98698,245374
2020-09-27 01:08:50,5.204,0.6224,3.238,23.0,1.01,0.48,8.3,59430,98699,245376
2020-09-27 01:08:52,5.204,0.6326,3.292,23.0,1.03,0.49,8.2,59430,98700,245377
2020-09-27 01:08:53,5.203,0.6261,3.257,23.0,1.03,0.49,8.3,59430,98701,245378
2020-09-27 01:08:54,5.204,0.6359,3.309,23.0,1.03,0.49,8.1,59430,98703,245380
2020-09-27 01:08:56,5.204,0.644,3.351,23.0,1.03,0.49,8.0,59430,98704,245381
2020-09-27 01:08:57,5.204,0.6228,3.241,23.0,1.03,0.49,8.3,59431,98705,245382
2020-09-27 01:08:58,5.204,0.6227,3.24,23.0,1.03,0.49,8.3,59431,98707,245384
2020-09-27 01:09:00,5.199,0.6227,3.237,23.0,1.03,0.49,8.3,59431,98708,245385
2020-09-27 01:09:01,5.204,0.6232,3.243,23.0,1.03,0.49,8.3,59431,98708,245386
2020-09-27 01:09:02,5.203,0.6247,3.25,23.0,1.03,0.49,8.3,59432,98710,245388
2020-09-27 01:09:04,5.203,0.6228,3.24,23.0,1.03,0.49,8.3,59432,98711,245389
2020-09-27 01:09:05,5.203,0.6259,3.256,23.0,1.03,0.49,8.3,59432,98712,245390
2020-09-27 01:09:06,5.203,0.6247,3.25,23.0,1.03,0.49,8.3,59432,98714,245392
2020-09-27 01:09:08,5.204,0.6428,3.345,23.0,1.03,0.49,8.0,59433,98715,245393
2020-09-27 01:09:09,5.203,0.6261,3.257,23.0,1.03,0.49,8.3,59433,98716,245394
2020-09-27 01:09:10,5.204,0.632,3.288,23.0,1.03,0.49,8.2,59433,98717,245396
2020-09-27 01:09:12,5.204,0.6228,3.241,23.0,1.01,0.49,8.3,59433,98718,245397
2020-09-27 01:09:13,5.204,0.6228,3.241,23.0,1.01,0.49,8.3,59433,98719,245398
2020-09-27 01:09:14,5.203,0.6228,3.24,23.0,1.03,0.49,8.3,59434,98721,245400
2020-09-27 01:09:16,5.2,0.6253,3.251,23.0,1.03,0.49,8.3,59434,98722,245401
2020-09-27 01:09:17,5.204,0.6226,3.24,23.0,1.03,0.49,8.3,59434,98723,245402
2020-09-27 01:09:18,5.203,0.6259,3.256,23.0,1.03,0.49,8.3,59434,98725,245404
2020-09-27 01:09:20,5.192,0.6247,3.243,23.0,1.03,0.49,8.3,59435,98726,245405
2020-09-27 01:09:21,5.192,0.6938,3.602,23.0,1.03,0.49,7.4,59435,98726,245406
2020-09-27 01:09:22,5.192,0.6948,3.607,23.0,1.03,0.49,7.4,59435,98728,245408
2020-09-27 01:09:24,5.192,0.6944,3.605,23.0,1.03,0.49,7.4,59435,98729,245409
2020-09-27 01:09:25,5.192,0.6943,3.604,23.0,1.03,0.49,7.4,59436,98730,245410
2020-09-27 01:09:26,5.192,0.6942,3.604,23.0,1.03,0.49,7.4,59436,98732,245412
2020-09-27 01:09:28,5.204,0.6936,3.609,23.0,1.03,0.49,7.5,59436,98733,245413
2020-09-27 01:09:29,5.192,0.6937,3.601,23.0,1.03,0.49,7.4,59436,98734,245414
2020-09-27 01:09:30,5.192,0.6936,3.601,23.0,1.03,0.49,7.4,59437,98736,245416
2020-09-27 01:09:32,5.189,0.6938,3.6,23.0,1.03,0.49,7.4,59437,98737,245417
2020-09-27 01:09:33,5.192,0.694,3.603,24.0,1.03,0.49,7.4,59437,98739,245419
2020-09-27 01:09:34,5.192,0.694,3.603,24.0,1.03,0.49,7.4,59437,98740,245420
2020-09-27 01:09:36,5.192,0.694,3.603,24.0,1.03,0.49,7.4,59438,98741,245421
2020-09-27 01:09:37,5.195,0.6852,3.559,24.0,1.03,0.49,7.5,59438,98743,245423
2020-09-27 01:09:39,5.195,0.6728,3.495,24.0,1.03,0.49,7.7,59438,98744,245424
2020-09-27 01:09:40,5.195,0.6814,3.539,24.0,1.03,0.49,7.6,59438,98745,245425
2020-09-27 01:09:41,5.192,0.7076,3.673,24.0,1.03,0.49,7.3,59439,98747,245427
2020-09-27 01:09:43,5.192,0.6944,3.605,24.0,1.03,0.49,7.4,59439,98748,245428
2020-09-27 01:09:44,5.192,0.7074,3.672,24.0,1.03,0.49,7.3,59439,98749,245429
2020-09-27 01:09:45,5.191,0.6944,3.604,24.0,1.03,0.49,7.4,59440,98751,245431
2020-09-27 01:09:47,5.192,0.6943,3.604,24.0,1.03,0.49,7.4,59440,98752,245432
2020-09-27 01:09:48,5.192,0.6943,3.604,24.0,1.03,0.49,7.4,59440,98753,245433
2020-09-27 01:09:49,5.192,0.6942,3.604,24.0,1.02,0.49,7.4,59440,98755,245435
2020-09-27 01:09:51,5.189,0.694,3.601,24.0,1.03,0.49,7.4,59441,98756,245436
2020-09-27 01:09:52,5.193,0.6899,3.582,24.0,1.03,0.49,7.5,59441,98757,245437
2020-09-27 01:09:53,5.192,0.6944,3.605,24.0,1.03,0.49,7.4,59441,98759,245439
2020-09-27 01:09:55,5.192,0.6946,3.606,24.0,1.03,0.49,7.4,59441,98760,245440
2020-09-27 01:09:56,5.192,0.6997,3.632,24.0,1.03,0.49,7.4,59441,98761,245441
2020-09-27 01:09:57,5.191,0.6946,3.605,24.0,1.01,0.49,7.4,59442,98763,245443
2020-09-27 01:09:59,5.192,0.681,3.535,24.0,1.01,0.49,7.6,59442,98764,245444
2020-09-27 01:10:00,5.192,0.695,3.608,24.0,1.01,0.49,7.4,59442,98765,245445
2020-09-27 01:10:01,5.191,0.695,3.607,24.0,1.01,0.48,7.4,59443,98767,245447
2020-09-27 01:10:03,5.192,0.6947,3.606,24.0,1.01,0.49,7.4,59443,98768,245448
2020-09-27 01:10:04,5.202,0.6943,3.611,24.0,1.01,0.49,7.4,59443,98769,245449
2020-09-27 01:10:05,5.192,0.6944,3.605,24.0,1.01,0.49,7.4,59443,98771,245451
2020-09-27 01:10:07,5.191,0.6945,3.605,24.0,1.01,0.48,7.4,59444,98772,245452
2020-09-27 01:10:08,5.189,0.6945,3.603,24.0,1.01,0.49,7.4,59444,98773,245453
2020-09-27 01:10:09,5.191,0.6946,3.605,24.0,1.01,0.49,7.4,59444,98775,245455
2020-09-27 01:10:11,5.191,0.6948,3.606,24.0,1.01,0.48,7.4,59444,98776,245456
2020-09-27 01:10:12,5.192,0.6944,3.605,24.0,1.01,0.48,7.4,59445,98777,245457
2020-09-27 01:10:13,5.191,0.6948,3.606,24.0,1.01,0.49,7.4,59445,98779,245459
2020-09-27 01:10:15,5.191,0.7086,3.678,24.0,1.01,0.48,7.3,59445,98780,245460
2020-09-27 01:10:16,5.191,0.647,3.358,24.0,1.01,0.49,8.0,59446,98782,245462
2020-09-27 01:10:17,5.191,0.6968,3.617,24.0,1.03,0.49,7.4,59446,98783,245463
2020-09-27 01:10:19,5.191,0.6964,3.615,24.0,1.03,0.49,7.4,59446,98784,245464
2020-09-27 01:10:20,5.191,0.6963,3.614,24.0,1.01,0.49,7.4,59446,98786,245466
2020-09-27 01:10:21,5.21,0.567,2.954,24.0,1.01,0.49,9.1,59446,98787,245467
