Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3625","55.4"
"1096000","2653200","3618","65.1"
"2190000","2653200","3604","75.7"
"3284000","2653200","3604","86.3"
"4378000","2653200","3602","97.3"
"5726000","2653200","3595","110.0"
"6819000","2653200","3596","120.6"
"7918000","2687800","3592","131.1"
"9011000","2687800","3590","141.3"
"10104000","2687800","3589","151.9"
"11453000","2687800","3593","165.4"
"12547000","2687800","3592","175.6"
"13640000","2687800","3591","185.7"
"14734000","2656700","3590","196.3"
"15829000","2656700","3590","206.9"
"17182000","2656700","3589","219.6"
"18276000","2656700","3590","230.6"
"19368000","2656700","3589","240.7"
"20462000","2656700","3589","251.3"
"21555000","2671600","3589","261.9"
"22903000","2671600","3589","274.6"
"23997000","2671600","3587","285.2"
"25091000","2671600","3587","295.8"
"26184000","2671600","3588","306.8"
"27283000","2671600","3589","316.5"
"28632000","2654400","3588","329.6"
"29726000","2654400","3587","340.2"
"30820000","2654400","3587","350.8"
"31913000","2654400","3589","361.8"
"33007000","2654400","3590","371.5"
"34356000","2654400","3589","384.6"
"35448000","2673400","3588","395.2"
"36542000","2673400","3588","405.8"
"37641000","2673400","3590","415.9"
"38734000","2673400","3590","426.9"
"40084000","2673400","3590","439.6"
"41177000","2673400","3590","450.2"
"42272000","2670600","3590","460.8"
"43370000","2670600","3589","470.9"
"44463000","2670600","3589","481.5"
"45811000","2670600","3589","494.6"
"46906000","2670600","3589","505.2"
"48005000","2670600","3589","515.4"
"49098000","2669100","3589","526.4"
"50192000","2669100","3590","537.0"
"51541000","2669100","3589","549.6"
"52634000","2669100","3590","560.2"
"53728000","2669100","3589","570.4"
"54821000","2669100","3588","581.0"
"55915000","2656400","3588","591.6"
"57269000","2656400","3587","604.2"
"58361000","2656400","3587","614.8"
"59454000","2656400","3587","625.0"
"60547000","2656400","3587","635.6"
"61640000","2656400","3586","646.1"
"62990000","2639500","3588","658.8"
"64082000","2639500","3587","669.4"
"65176000","2639500","3587","680.0"
"66270000","2639500","3588","691.0"
"67369000","2639500","3588","701.1"
"68718000","2639500","3587","713.8"
"69811000","2671100","3586","724.4"
"70904000","2671100","3586","735.0"
"71996000","2671100","3587","746.0"
"73089000","2671100","3587","756.2"
"74439000","2671100","3588","768.8"
"75532000","2671100","3586","779.4"
"76626000","2673900","3587","790.0"
"77725000","2673900","3587","800.6"
"78818000","2673900","3587","811.2"
"80165000","2673900","3586","824.2"
"81259000","2673900","3587","834.4"
"82351000","2673900","3588","845.4"
"83443000","2672900","3587","855.6"
"84588000","2672900","3586","866.6"
"85937000","2672900","3587","879.2"
"87031000","2672900","3587","889.8"
"88130000","2672900","3587","900.4"
"89224000","2672900","3586","911.0"
"90318000","2666900","3586","921.6"
"91667000","2666900","3585","934.2"
"92760000","2666900","3585","944.8"
"93854000","2666900","3586","955.0"
"94947000","2666900","3586","965.6"
"96041000","2666900","3585","976.2"
"97395000","2654600","3585","989.2"
"98489000","2654600","3585","1000.2"
"99583000","2654600","3585","1010.4"
"100677000","2654600","3585","1021.0"
"101770000","2654600","3586","1031.6"
"103119000","2654600","3586","1044.6"
"104211000","2690100","3586","1055.2"
"105304000","2690100","3586","1065.0"
"106398000","2690100","3586","1076.0"
"107497000","2690100","3585","1086.6"
"108846000","2690100","3586","1099.6"
"109939000","2690100","3585","1109.8"
"111032000","2638000","3587","1120.0"
"112125000","2638000","3587","1130.6"
"113219000","2638000","3587","1141.6"
"114568000","2638000","3587","1154.2"
"115661000","2638000","3588","1165.2"
"116753000","2638000","3588","1175.8"
"117852000","2688600","3588","1186.0"
"118945000","2688600","3589","1196.2"
"120294000","2688600","3588","1209.2"
"121388000","2688600","3589","1220.2"
"122482000","2688600","3590","1230.0"
"123575000","2688600","3589","1240.6"
"124670000","2656200","3589","1251.2"
"126019000","2656200","3589","1264.2"
"127121000","2656200","3589","1274.8"
"128215000","2656200","3591","1285.0"
"129308000","2656200","3589","1295.6"
"130401000","2656200","3589","1306.2"
"131751000","2685300","3590","1319.6"
"132844000","2685300","3590","1329.8"
"133937000","2685300","3591","1340.0"
"135030000","2685300","3590","1350.6"
"136122000","2685300","3590","1361.2"
"137477000","2685300","3591","1374.6"
"138570000","2638500","3591","1384.4"
"139664000","2638500","3591","1395.4"
"140757000","2638500","3591","1405.6"
"141851000","2638500","3592","1416.6"
"143200000","2638500","3591","1429.2"
"144293000","2638500","3592","1439.4"
"145386000","2690100","3592","1450.4"
"146479000","2690100","3592","1460.6"
"147578000","2690100","3591","1471.2"
"148927000","2690100","3592","1484.2"
"150021000","2690100","3592","1494.8"
"151115000","2690100","3591","1505.0"
"152209000","2670900","3591","1516.0"
"153302000","2670900","3591","1526.2"
"154650000","2670900","3592","1538.8"
"155743000","2670900","3591","1549.4"
"156836000","2670900","3592","1560.4"
"157935000","2670900","3591","1570.6"
"159029000","2654900","3591","1581.2"
"160378000","2654900","3590","1593.8"
"161471000","2654900","3589","1604.4"
"162563000","2654900","3589","1614.6"
"163657000","2654900","3590","1625.2"
"164750000","2654900","3590","1635.8"
"166099000","2673400","3590","1649.3"
"167198000","2673400","3589","1659.4"
"168292000","2673400","3589","1670.0"
"169390000","2673400","3589","1680.6"
"170483000","2673400","3589","1691.2"
"171832000","2673400","3589","1704.3"
"172927000","2668900","3589","1714.9"
"174021000","2668900","3589","1725.5"
"175113000","2668900","3589","1735.6"
"176207000","2668900","3589","1746.2"
"177562000","2668900","3589","1758.9"
"178655000","2668900","3588","1769.5"
"179749000","2671100","3589","1780.5"
"180842000","2671100","3589","1790.6"
"181936000","2671100","3589","1800.8"
"183284000","2671100","3588","1813.9"
"184377000","2671100","3589","1824.5"
"185470000","2671100","3589","1835.1"
"186564000","2656900","3589","1845.6"
"187664000","2656900","3589","1855.8"
"189012000","2656900","3588","1868.9"
"190105000","2656900","3588","1879.5"
"191199000","2656900","3589","1890.1"
"192292000","2656900","3589","1900.2"
"193385000","2638000","3590","1910.4"
"194734000","2638000","3588","1923.5"
"195828000","2638000","3590","1933.6"
"196920000","2638000","3589","1944.2"
"198019000","2638000","3589","1955.2"
"199112000","2638000","3589","1965.8"
"200462000","2687000","3590","1978.9"
"201556000","2687000","3589","1989.1"
"202650000","2687000","3589","1999.7"
"203744000","2687000","3590","2010.2"
"204837000","2687000","3590","2020.8"
"206185000","2687000","3589","2033.5"
"207284000","2654200","3589","2044.1"
"208377000","2654200","3590","2055.1"
"209471000","2654200","3589","2065.3"
"210570000","2654200","3590","2075.8"
"211920000","2654200","3589","2088.5"
"213013000","2654200","3589","2099.1"
"214106000","2670900","3588","2109.7"
"215200000","2670900","3589","2119.8"
"216293000","2670900","3590","2130.4"
"217647000","2670900","3589","2143.5"
"218739000","2670900","3590","2154.5"
"219833000","2670900","3590","2164.7"
"220926000","2655400","3590","2174.9"
"222019000","2655400","3590","2185.9"
"223368000","2655400","3590","2198.5"
"224462000","2655400","3591","2208.7"
"225555000","2655400","3590","2219.3"
"226648000","2655400","3590","2230.3"
"227747000","2671400","3590","2240.5"
"229095000","2671400","3590","2253.1"
"230188000","2671400","3590","2264.1"
"231282000","2671400","3589","2274.3"
"232375000","2671400","3590","2285.3"
"233467000","2671400","3590","2295.0"
"234817000","2657300","3590","2308.1"
"235910000","2657300","3590","2319.1"
"237004000","2657300","3590","2328.9"
"238103000","2657300","3590","2339.5"
"239196000","2657300","3590","2350.1"
"240544000","2657300","3590","2363.1"
"241637000","2671900","3590","2373.7"
"242730000","2671900","3590","2383.9"
"243824000","2671900","3589","2394.5"
"244917000","2671900","3589","2405.1"
"246266000","2671900","3589","2417.7"
"247365000","2671900","3590","2428.3"
"248458000","2654400","3589","2438.9"
"249551000","2654400","3589","2449.5"
"250645000","2654400","3588","2460.1"
"251994000","2654400","3589","2473.1"
"253092000","2654400","3588","2483.3"
"254186000","2654400","3588","2493.9"
"255279000","2671600","3587","2504.5"
"256372000","2671600","3588","2514.7"
"257727000","2671600","3587","2527.7"
"258820000","2671600","3588","2538.3"
"259913000","2671600","3588","2548.9"
"261006000","2671600","3588","2559.1"
"262101000","2654400","3588","2569.7"
"263448000","2654400","3589","2583.1"
"264540000","2654400","3589","2593.3"
"265635000","2654400","3588","2603.5"
"266728000","2654400","3588","2614.1"
"267827000","2654400","3588","2624.7"
"269175000","2671700","3588","2637.7"
"270269000","2671700","3589","2647.9"
"271362000","2671700","3589","2658.5"
"272455000","2671700","3588","2669.1"
"273549000","2671700","3589","2680.1"
"274898000","2671700","3590","2692.3"
"275992000","2656400","3589","2702.9"
"277091000","2656400","3590","2713.9"
"278184000","2656400","3590","2724.1"
"279277000","2656400","3590","2734.3"
"280626000","2656400","3589","2747.3"
"281720000","2656400","3589","2757.9"
"282813000","2671400","3590","2768.5"
"283906000","2671400","3588","2778.7"
"284999000","2671400","3589","2789.3"
"286348000","2671400","3589","2801.9"
"287445000","2671400","3588","2812.5"
"288538000","2671400","3589","2823.1"
"289632000","2655700","3588","2833.7"
"290725000","2655700","3587","2843.9"
"292074000","2655700","3588","2856.9"
"293168000","2655700","3587","2867.5"
"294305000","2655700","3587","2878.5"
"295398000","2655700","3586","2888.7"
"296491000","2672900","3587","2899.7"
"297845000","2672900","3587","2912.3"
