Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3615","47.2"
"1080000","0","3584","55.7"
"2158000","2299800","3586","64.7"
"3238000","2299800","3585","73.6"
"4318000","2299800","3584","82.6"
"5658000","2299800","3584","93.6"
"6738000","2299800","3587","102.5"
"7817000","2299800","3588","111.5"
"8898000","2299800","3589","120.4"
"9977000","2299300","3588","129.4"
"11313000","2299300","3589","140.8"
"12393000","2299300","3588","149.7"
"13472000","2299300","3587","158.3"
"14551000","2299300","3586","167.2"
"15636000","2299300","3586","176.2"
"16971000","2299300","3588","187.6"
"18049000","2297300","3587","196.1"
"19129000","2297300","3587","205.1"
"20208000","2297300","3587","214.1"
"21287000","2297300","3587","222.6"
"22622000","2297300","3587","233.6"
"23702000","2297300","3586","242.5"
"24781000","2297300","3587","251.5"
"25865000","2285400","3586","260.5"
"26944000","2285400","3586","269.4"
"28299000","2285400","3586","280.8"
"29378000","2285400","3586","289.4"
"30457000","2285400","3587","298.3"
"31537000","2285400","3586","307.7"
"32616000","2285400","3586","316.2"
"33952000","2293100","3586","327.2"
"35031000","2293100","3586","336.2"
"36116000","2293100","3587","345.5"
"37197000","2293100","3586","354.1"
"38277000","2293100","3587","363.4"
"39611000","2293100","3586","374.0"
"40692000","2293100","3587","383.4"
"41771000","2299100","3586","391.9"
"42851000","2299100","3586","400.9"
"43931000","2299100","3586","409.8"
"45266000","2299100","3586","420.8"
"46352000","2299100","3586","429.8"
"47432000","2299100","3586","438.7"
"48512000","2299100","3586","447.7"
"49591000","2313400","3587","457.1"
"50926000","2313400","3586","467.6"
"52006000","2313400","3586","476.6"
"53086000","2313400","3587","486.0"
"54166000","2313400","3587","494.5"
"55245000","2313400","3588","503.0"
"56585000","2313400","3587","514.4"
"57664000","2283000","3588","523.4"
"58743000","2283000","3587","532.4"
"59822000","2283000","3587","540.9"
"60902000","2283000","3587","549.9"
"62237000","2283000","3587","561.3"
"63316000","2283000","3587","569.8"
"64395000","2283000","3587","578.8"
"65475000","2286900","3587","587.7"
"66561000","2286900","3587","596.7"
"67897000","2286900","3588","607.7"
"68976000","2286900","3588","616.6"
