Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3590","46.8"
"1080000","0","3589","55.7"
"2159000","2298100","3587","64.7"
"3238000","2298100","3586","73.6"
"4318000","2298100","3592","83.0"
"5654000","2298100","3586","93.6"
"6734000","2298100","3590","102.9"
"7819000","2298100","3587","111.5"
"8899000","2298100","3588","120.4"
"9978000","2299300","3586","129.4"
"11313000","2299300","3588","140.8"
"12392000","2299300","3586","149.7"
"13471000","2299300","3586","158.3"
"14550000","2299300","3584","167.7"
"15629000","2299300","3584","176.6"
"16964000","2299300","3585","187.6"
"18049000","2311700","3583","196.6"
"19128000","2311700","3585","205.9"
"20208000","2311700","3584","214.5"
"21288000","2311700","3585","223.8"
"22624000","2311700","3586","234.4"
"23704000","2311700","3587","243.4"
"24783000","2311700","3586","252.3"
"25863000","2300600","3587","261.3"
"26943000","2300600","3586","270.6"
"28283000","2300600","3586","281.6"
"29364000","2300600","3586","290.6"
"30443000","2300600","3587","299.9"
"31522000","2300600","3586","308.5"
"32603000","2300600","3587","317.9"
"33937000","2310600","3586","328.4"
"35017000","2310600","3585","337.4"
"36096000","2310600","3585","346.3"
"37181000","2310600","3585","355.3"
"38260000","2310600","3584","364.3"
"39596000","2310600","3585","375.2"
"40676000","2310600","3585","384.6"
"41761000","2297900","3585","393.2"
"42840000","2297900","3585","402.1"
"43919000","2297900","3585","411.1"
"45254000","2297900","3585","422.1"
"46334000","2297900","3585","431.0"
"47419000","2297900","3584","440.0"
"48498000","2297900","3584","448.9"
"49577000","2299800","3584","457.9"
"50913000","2299800","3585","468.9"
"51992000","2299800","3584","477.8"
"53072000","2299800","3584","486.8"
"54152000","2299800","3584","495.7"
"55232000","2299800","3584","504.7"
"56568000","2299800","3584","515.7"
"57652000","2296300","3584","524.6"
"58732000","2296300","3584","534.0"
"59812000","2296300","3584","542.9"
"60891000","2296300","3583","551.9"
"62226000","2296300","3584","562.9"
"63307000","2296300","3583","571.8"
"64387000","2296300","3584","580.8"
"65466000","2315300","3583","589.8"
"66546000","2315300","3584","599.1"
"67887000","2315300","3584","609.7"
"68966000","2315300","3584","619.1"
"70045000","2315300","3584","628.0"
"71125000","2315300","3584","637.0"
"72205000","2315300","3585","645.9"
"73539000","2311000","3584","656.9"
"74618000","2311000","3584","665.9"
"75698000","2311000","3585","675.2"
"76777000","2311000","3585","683.8"
"77860000","2311000","3584","692.7"
"79196000","2311000","3584","703.7"
"80276000","2311000","3583","712.7"
"81355000","2300000","3583","721.6"
"82436000","2300000","3583","730.6"
"83520000","2300000","3584","740.0"
"84855000","2300000","3584","750.5"
"85935000","2300000","3583","759.5"
"87014000","2300000","3583","768.4"
"88100000","2300000","3584","777.4"
"89180000","2297500","3583","786.4"
"90516000","2297500","3584","797.3"
"91595000","2297500","3584","806.7"
"92674000","2297500","3585","815.7"
"93754000","2297500","3585","824.6"
"94834000","2297500","3585","833.6"
"96169000","2297500","3585","845.0"
"97255000","2310500","3585","853.5"
"98335000","2310500","3585","862.5"
"99414000","2310500","3585","871.4"
"100495000","2310500","3585","880.4"
"101829000","2310500","3585","891.4"
"102909000","2310500","3585","900.7"
"103987000","2310500","3585","909.7"
"105067000","2330500","3586","919.1"
"106146000","2330500","3586","928.0"
"107487000","2330500","3585","938.6"
"108566000","2330500","3586","947.6"
"109647000","2330500","3587","956.5"
"110726000","2330500","3587","965.5"
"111806000","2330500","3587","974.4"
"113140000","2282600","3586","985.4"
"114220000","2282600","3586","994.4"
"115300000","2282600","3587","1003.7"
"116380000","2282600","3587","1012.7"
"117465000","2282600","3587","1022.0"
"118800000","2282600","3586","1032.6"
"119880000","2282600","3586","1041.6"
"120959000","2313800","3586","1050.5"
"122039000","2313800","3587","1059.5"
"123119000","2313800","3587","1068.4"
"124454000","2313800","3587","1079.8"
"125538000","2313800","3587","1088.4"
"126618000","2313800","3587","1097.8"
"127703000","2313800","3588","1106.3"
"128783000","2312500","3587","1115.7"
"130118000","2312500","3588","1126.7"
"131198000","2312500","3588","1135.6"
"132278000","2312500","3588","1145.0"
"133357000","2312500","3589","1153.9"
"134438000","2312500","3589","1162.5"
"135773000","2312500","3589","1173.9"
"136853000","2297600","3589","1182.4"
"137938000","2297600","3589","1191.4"
"139017000","2297600","3588","1200.3"
"140096000","2297600","3589","1209.7"
"141432000","2297600","3589","1220.3"
"142511000","2297600","3590","1229.2"
"143590000","2297600","3589","1238.2"
"144669000","2314600","3589","1247.5"
"145749000","2314600","3589","1256.1"
"147083000","2314600","3589","1267.5"
"148168000","2314600","3589","1276.4"
"149248000","2314600","3590","1285.8"
"150328000","2314600","3589","1294.4"
"151406000","2314600","3590","1303.7"
"152742000","2297100","3589","1314.3"
"153820000","2297100","3589","1323.3"
"154900000","2297100","3589","1332.2"
"155980000","2297100","3589","1341.2"
"157060000","2297100","3589","1350.1"
"158400000","2297100","3589","1361.1"
"159481000","2297100","3589","1370.1"
"160560000","2299300","3589","1379.0"
"161640000","2299300","3589","1388.0"
"162720000","2299300","3589","1397.3"
"164055000","2299300","3589","1407.9"
"165135000","2299300","3589","1417.3"
"166214000","2299300","3590","1425.8"
"167304000","2299300","3590","1435.2"
"168384000","2327000","3590","1444.6"
"169718000","2327000","3590","1455.1"
"170799000","2327000","3590","1464.1"
"171878000","2327000","3590","1473.1"
"172958000","2327000","3590","1482.4"
