Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3599","55.0"
"1093000","2687800","3585","66.0"
"2187000","2687800","3594","76.6"
"3281000","2687800","3595","87.1"
"4374000","2687800","3596","97.7"
"5729000","2687800","3592","110.0"
"6821000","2687800","3590","120.6"
"7915000","2671100","3595","131.6"
"9009000","2671100","3593","141.3"
"10102000","2671100","3596","152.3"
"11452000","2671100","3594","165.0"
"12545000","2671100","3593","175.1"
"13639000","2671100","3595","186.2"
"14738000","2637200","3593","196.3"
"15831000","2637200","3595","206.5"
"17180000","2637200","3595","220.0"
"18273000","2637200","3596","230.6"
"19367000","2637200","3596","240.3"
"20460000","2637200","3594","250.9"
"21555000","2673100","3595","261.9"
"22903000","2673100","3593","274.6"
"23996000","2673100","3595","285.6"
"25093000","2673100","3594","295.8"
"26186000","2673100","3595","306.3"
"27280000","2673100","3594","316.5"
"28629000","2639700","3594","329.2"
"29722000","2639700","3593","339.8"
"30816000","2639700","3594","350.8"
"31912000","2639700","3595","361.3"
"33006000","2639700","3595","371.1"
"34355000","2639700","3593","384.2"
"35454000","2669900","3593","394.8"
"36547000","2669900","3593","405.3"
"37642000","2669900","3593","415.5"
"38735000","2669900","3592","426.1"
"40084000","2669900","3593","439.6"
"41177000","2669900","3592","449.8"
"42271000","2656200","3593","459.9"
"43365000","2656200","3593","470.9"
"44464000","2656200","3593","481.5"
"45813000","2656200","3592","494.2"
"46907000","2656200","3591","504.8"
"48000000","2656200","3593","515.4"
"49093000","2670900","3592","525.5"
"50186000","2670900","3592","536.1"
"51536000","2670900","3593","549.6"
"52629000","2670900","3593","559.4"
"53722000","2670900","3593","570.0"
"54821000","2670900","3593","580.5"
"55912000","2672100","3593","591.1"
"57262000","2672100","3593","603.8"
"58355000","2672100","3593","614.4"
"59448000","2672100","3593","625.4"
"60542000","2672100","3593","635.1"
"61636000","2672100","3593","645.7"
"62984000","2656500","3593","658.8"
"64078000","2656500","3594","669.4"
"65176000","2656500","3592","680.0"
"66270000","2656500","3593","690.6"
"67365000","2656500","3592","700.7"
"68714000","2656500","3593","714.2"
"69808000","2670400","3592","724.4"
"70901000","2670400","3592","734.6"
"71994000","2670400","3592","745.2"
"73087000","2670400","3591","755.7"
"74446000","2670400","3590","768.8"
"75539000","2670400","3591","779.0"
"76632000","2653700","3591","789.6"
"77726000","2653700","3591","800.2"
"78819000","2653700","3591","811.2"
"80167000","2653700","3592","823.4"
"81261000","2653700","3591","834.0"
"82353000","2653700","3592","845.0"
"83447000","2673600","3591","855.2"
"84545000","2673600","3592","866.2"
"85893000","2673600","3592","878.4"
"86987000","2673600","3592","889.4"
"88080000","2673600","3591","899.6"
"89173000","2673600","3591","909.8"
"90266000","2672100","3591","920.8"
"91615000","2672100","3592","933.8"
"92709000","2672100","3592","944.0"
"93802000","2672100","3592","954.2"
"94902000","2672100","3592","964.8"
"95995000","2672100","3593","974.9"
"97344000","2638300","3592","988.0"
"98438000","2638300","3592","998.6"
"99531000","2638300","3592","1009.6"
