Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","3029000","3605","62.3"
"1094000","3029000","3592","75.0"
"2192000","3029000","3589","86.8"
"3286000","3029000","3592","99.0"
"4380000","3029000","3592","111.3"
"5727000","3065700","3586","125.5"
"6821000","3065700","3588","137.8"
"7914000","3065700","3584","149.6"
"9007000","3065700","3588","161.4"
"10100000","3065700","3589","174.1"
"11449000","3048600","3588","188.3"
"12548000","3048600","3591","201.0"
"13641000","3048600","3592","212.4"
"14735000","3048600","3592","225.0"
"15828000","3048600","3592","236.9"
"17182000","3062300","3593","251.5"
"18276000","3062300","3591","263.8"
"19369000","3062300","3590","275.6"
"20463000","3062300","3592","288.2"
"21555000","3062300","3593","299.7"
"22910000","3065000","3592","314.7"
"24003000","3065000","3591","326.6"
"25096000","3065000","3591","338.8"
"26190000","3065000","3591","351.0"
"27284000","3065000","3591","363.3"
"28632000","3068100","3591","377.9"
"29726000","3068100","3591","389.8"
"30820000","3068100","3592","401.6"
"31913000","3068100","3593","414.2"
"33012000","3068100","3593","425.6"
"34361000","3064300","3593","441.1"
"35455000","3064300","3592","453.0"
"36548000","3064300","3592","464.8"
"37641000","3064300","3593","476.6"
"38733000","3064300","3593","488.9"
"40082000","3029400","3592","503.5"
"41176000","3029400","3593","515.4"
"42274000","3029400","3592","527.6"
"43368000","3029400","3591","539.8"
"44461000","3029400","3592","552.1"
"45811000","3064300","3592","566.7"
"46904000","3064300","3591","578.6"
"47997000","3064300","3592","590.4"
"49090000","3064300","3592","602.6"
"50182000","3064300","3592","614.4"
"51531000","3049600","3591","629.5"
"52630000","3049600","3591","641.8"
"53723000","3049600","3591","654.0"
"54816000","3049600","3591","665.8"
"55910000","3049600","3591","677.6"
"57260000","3064300","3591","692.7"
"58354000","3064300","3592","704.1"
"59451000","3064300","3592","716.8"
"60544000","3064300","3592","729.0"
"61638000","3064300","3593","740.4"
"62992000","3062600","3593","755.9"
"64086000","3062600","3593","767.8"
"65178000","3062600","3594","780.0"
"66272000","3062600","3593","791.8"
"67366000","3062600","3594","803.6"
"68715000","3028300","3594","818.3"
"69809000","3028300","3594","831.0"
"70902000","3028300","3594","842.4"
"72001000","3028300","3594","855.0"
"73095000","3028300","3594","866.4"
"74444000","3084200","3595","881.9"
"75538000","3084200","3595","893.3"
"76631000","3084200","3596","906.0"
"77725000","3084200","3595","917.8"
"78818000","3084200","3594","929.6"
"80168000","3047200","3595","944.7"
"81261000","3047200","3595","956.5"
"82360000","3047200","3596","968.4"
"83454000","3047200","3595","981.0"
"84547000","3047200","3595","992.8"
"85897000","3064700","3596","1007.9"
"86991000","3064700","3596","1019.3"
"88083000","3064700","3596","1032.0"
"89177000","3064700","3595","1043.8"
"90270000","3064700","3595","1056.0"
"91618000","3028700","3595","1070.3"
"92717000","3028700","3595","1083.0"
"93810000","3028700","3595","1094.4"
"94904000","3028700","3595","1107.0"
"95997000","3028700","3595","1118.8"
"97346000","3065000","3594","1133.5"
"98439000","3065000","3594","1145.3"
"99533000","3065000","3595","1158.0"
"100660000","3065000","3596","1169.8"
"101753000","3065000","3595","1182.0"
"103108000","3046900","3595","1196.7"
"104201000","3046900","3595","1209.0"
"105295000","3046900","3595","1220.8"
"106388000","3046900","3596","1233.4"
"107481000","3046900","3596","1244.8"
"108830000","3068500","3595","1259.9"
"109924000","3068500","3596","1271.7"
"111016000","3068500","3596","1284.4"
"112114000","3068500","3595","1296.2"
"113208000","3068500","3596","1308.4"
"114557000","3065400","3594","1323.1"
"115651000","3065400","3594","1334.9"
"116745000","3065400","3595","1347.6"
"117838000","3065400","3595","1359.0"
"118931000","3065400","3594","1371.7"
"120280000","3067800","3595","1386.3"
"121373000","3067800","3595","1398.6"
"122471000","3067800","3595","1410.4"
"123565000","3067800","3596","1422.2"
"124658000","3067800","3595","1434.0"
"126007000","3065400","3596","1449.5"
"127100000","3065400","3596","1460.9"
"128194000","3065400","3596","1473.6"
"129287000","3065400","3595","1485.4"
"130379000","3065400","3595","1497.6"
"131728000","3029000","3594","1511.9"
"132827000","3029000","3594","1524.6"
"133920000","3029000","3593","1536.4"
"135014000","3029000","3594","1548.6"
"136107000","3029000","3593","1560.4"
"137456000","3085300","3593","1575.5"
"138549000","3085300","3594","1586.9"
"139642000","3085300","3593","1599.2"
"140735000","3085300","3593","1611.0"
"141828000","3085300","3593","1623.2"
