Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3623","46.8"
"1080000","0","3594","55.3"
"2159000","2285100","3594","64.3"
"3238000","2285100","3588","73.2"
"4318000","2285100","3584","81.8"
"5652000","2285100","3583","92.7"
"6731000","2285100","3583","101.7"
"7817000","2285100","3583","110.7"
"8896000","2285100","3583","119.6"
"9976000","2285300","3584","128.6"
"11312000","2285300","3585","139.1"
"12391000","2285300","3584","148.1"
"13470000","2285300","3583","157.1"
"14550000","2285300","3583","166.0"
"15629000","2285300","3583","175.0"
"16971000","2285300","3585","186.0"
"18050000","2282400","3584","194.9"
"19130000","2282400","3584","203.5"
"20210000","2282400","3583","212.4"
"21289000","2282400","3583","221.4"
"22623000","2282400","3583","232.4"
"23703000","2282400","3584","241.3"
"24782000","2282400","3583","249.9"
"25862000","2272400","3584","258.8"
"26947000","2272400","3583","267.8"
"28283000","2272400","3584","278.8"
"29362000","2272400","3584","287.7"
"30441000","2272400","3584","296.3"
"31520000","2272400","3583","305.2"
"32604000","2272400","3583","314.2"
"33939000","2281500","3583","325.2"
"35019000","2281500","3583","334.1"
"36098000","2281500","3583","342.7"
"37182000","2281500","3583","351.6"
"38260000","2281500","3583","360.6"
"39596000","2281500","3583","371.1"
"40676000","2281500","3583","380.1"
"41755000","2271100","3582","389.1"
"42835000","2271100","3583","398.0"
"43915000","2271100","3583","406.6"
"45248000","2271100","3583","417.5"
"46327000","2271100","3583","426.5"
"47413000","2271100","3583","435.5"
"48493000","2271100","3583","444.4"
"49572000","2270700","3583","453.0"
"50906000","2270700","3583","464.4"
"51986000","2270700","3583","472.9"
"53065000","2270700","3584","481.4"
"54144000","2270700","3583","490.4"
"55224000","2270700","3584","499.4"
"56558000","2270700","3582","510.3"
"57642000","2283500","3583","519.3"
"58722000","2283500","3583","527.8"
"59802000","2283500","3583","537.2"
"60882000","2283500","3584","546.2"
"62217000","2283500","3584","556.7"
"63296000","2283500","3584","565.7"
"64375000","2283500","3584","574.2"
"65454000","2272000","3583","583.2"
"66534000","2272000","3583","592.2"
"67875000","2272000","3584","602.7"
"68955000","2272000","3584","611.7"
"70034000","2272000","3584","620.6"
"71114000","2272000","3584","629.6"
"72192000","2272000","3583","638.6"
"73527000","2268700","3584","649.1"
"74612000","2268700","3584","658.1"
"75691000","2268700","3584","667.0"
"76770000","2268700","3585","676.0"
"77856000","2268700","3585","685.0"
"79191000","2268700","3584","695.5"
"80270000","2268700","3584","704.5"
"81349000","2298300","3585","713.9"
"82428000","2298300","3585","722.4"
"83507000","2298300","3585","730.9"
"84842000","2298300","3586","742.3"
"85921000","2298300","3586","750.5"
"87006000","2298300","3586","759.4"
"88085000","2298300","3586","768.4"
"89165000","2256700","3586","777.3"
"90499000","2256700","3586","788.3"
"91578000","2256700","3585","796.9"
"92658000","2256700","3586","805.8"
"93738000","2256700","3586","814.8"
"94817000","2256700","3586","823.3"
"96153000","2256700","3586","834.3"
"97237000","2268700","3586","843.3"
"98317000","2268700","3586","852.2"
"99396000","2268700","3587","861.6"
"100475000","2268700","3587","870.1"
"101810000","2268700","3587","880.7"
"102889000","2268700","3587","889.7"
"103968000","2268700","3587","898.6"
"105047000","2287300","3587","907.6"
"106126000","2287300","3587","916.5"
"107467000","2287300","3586","927.1"
"108546000","2287300","3586","936.1"
"109625000","2287300","3586","945.0"
"110704000","2287300","3586","953.6"
"111784000","2287300","3586","962.5"
"113119000","2283200","3588","973.9"
"114197000","2283200","3587","982.1"
"115277000","2283200","3587","991.0"
"116361000","2283200","3587","1000.0"
"117447000","2283200","3586","1008.9"
"118782000","2283200","3586","1019.5"
"119861000","2283200","3586","1028.5"
"120941000","2269400","3587","1037.8"
"122020000","2269400","3587","1046.4"
"123099000","2269400","3587","1055.3"
"124434000","2269400","3586","1065.9"
"125513000","2269400","3587","1074.9"
"126594000","2269400","3587","1083.8"
"127678000","2269400","3587","1092.4"
"128757000","2256100","3587","1101.3"
"130093000","2256100","3586","1112.3"
"131172000","2256100","3586","1121.3"
"132251000","2256100","3586","1129.8"
"133330000","2256100","3586","1138.8"
"134409000","2256100","3585","1147.7"
"135744000","2256100","3586","1158.7"
"136823000","2270700","3586","1167.3"
"137908000","2270700","3585","1176.6"
"138988000","2270700","3585","1185.6"
"140068000","2270700","3585","1194.1"
"141403000","2270700","3585","1205.1"
"142482000","2270700","3584","1213.7"
"143562000","2270700","3584","1222.6"
"144642000","2284900","3585","1231.6"
"145721000","2284900","3585","1240.5"
"147061000","2284900","3585","1251.1"
"148141000","2284900","3586","1260.5"
