Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3603","46.8"
"1080000","0","3602","55.3"
"2159000","2286800","3590","64.3"
"3239000","2286800","3590","73.2"
"4324000","2286800","3593","82.2"
"5665000","2286800","3594","93.2"
"6745000","2286800","3591","102.5"
"7825000","2286800","3594","111.1"
"8906000","2286800","3595","120.0"
"9985000","2297200","3593","129.0"
"11320000","2297200","3592","140.4"
"12399000","2297200","3593","148.9"
"13479000","2297200","3591","157.9"
"14564000","2297200","3591","166.8"
"15644000","2297200","3590","175.8"
"16978000","2297200","3590","186.8"
"18058000","2297100","3588","195.7"
"19137000","2297100","3589","205.1"
"20216000","2297100","3587","213.6"
"21295000","2297100","3586","222.6"
"22630000","2297100","3586","233.6"
"23715000","2297100","3586","242.5"
"24796000","2297100","3586","251.5"
"25875000","2299600","3586","260.5"
"26955000","2299600","3586","269.4"
"28290000","2299600","3585","280.4"
"29370000","2299600","3585","289.4"
"30453000","2299600","3585","298.3"
"31533000","2299600","3586","307.3"
"32613000","2299600","3586","316.6"
"33955000","2295100","3586","327.2"
"35033000","2295100","3586","336.2"
"36113000","2295100","3586","345.1"
"37193000","2295100","3585","354.1"
"38273000","2295100","3585","363.0"
"39608000","2295100","3586","374.0"
"40687000","2295100","3585","383.0"
"41766000","2301300","3585","391.9"
"42845000","2301300","3585","400.9"
"43930000","2301300","3585","409.8"
"45265000","2301300","3585","420.8"
"46346000","2301300","3585","429.8"
"47429000","2301300","3585","438.7"
"48509000","2301300","3586","447.3"
"49589000","2298100","3585","456.6"
"50925000","2298100","3585","467.2"
"52005000","2298100","3586","476.2"
"53084000","2298100","3586","485.1"
"54170000","2298100","3586","494.1"
"55250000","2298100","3586","503.5"
"56585000","2298100","3585","514.0"
"57665000","2296200","3586","523.4"
"58744000","2296200","3585","531.9"
"59822000","2296200","3585","540.9"
"60902000","2296200","3584","549.9"
"62237000","2296200","3584","560.8"
"63317000","2296200","3585","569.8"
"64402000","2296200","3584","579.2"
"65482000","2285300","3583","587.7"
"66560000","2285300","3584","596.7"
"67895000","2285300","3584","607.7"
"68975000","2285300","3583","616.6"
"70054000","2285300","3584","625.2"
"71133000","2285300","3584","634.1"
"72214000","2285300","3585","643.1"
"73549000","2284400","3584","654.1"
"74634000","2284400","3585","663.0"
"75713000","2284400","3584","672.4"
"76793000","2284400","3586","680.9"
"77872000","2284400","3586","689.9"
"79207000","2284400","3587","700.9"
"80287000","2284400","3587","709.8"
"81366000","2314200","3588","719.2"
"82446000","2314200","3588","727.7"
"83525000","2314200","3587","736.7"
"84867000","2314200","3588","747.7"
"85946000","2314200","3588","756.6"
"87025000","2314200","3588","765.6"
"88104000","2314200","3588","774.5"
"89189000","2283600","3588","783.5"
"90524000","2283600","3589","794.5"
"91604000","2283600","3589","803.4"
"92684000","2283600","3589","812.4"
"93769000","2283600","3590","822.2"
"94849000","2283600","3590","830.3"
"96184000","2283600","3589","841.7"
"97264000","2324600","3590","851.1"
"98343000","2324600","3590","859.6"
"99423000","2324600","3590","868.6"
"100502000","2324600","3590","877.1"
"101837000","2324600","3590","888.1"
"102916000","2324600","3590","897.1"
"104002000","2324600","3590","906.0"
"105082000","2270300","3590","915.0"
"106161000","2270300","3590","923.9"
"107496000","2270300","3590","935.3"
"108576000","2270300","3590","944.3"
"109656000","2270300","3591","953.2"
"110735000","2270300","3590","961.8"
"111814000","2270300","3590","970.7"
"113149000","2298500","3590","981.7"
"114234000","2298500","3590","990.7"
"115315000","2298500","3591","999.6"
"116395000","2298500","3591","1008.6"
"117475000","2298500","3591","1017.5"
"118810000","2298500","3591","1028.5"
"119889000","2298500","3591","1037.5"
"120970000","2298900","3591","1046.4"
"122049000","2298900","3591","1055.8"
"123129000","2298900","3592","1064.8"
"124469000","2298900","3591","1075.7"
"125547000","2298900","3592","1084.7"
"126627000","2298900","3591","1093.2"
"127707000","2298900","3591","1102.2"
"128787000","2285300","3591","1110.7"
"130122000","2285300","3592","1121.7"
"131206000","2285300","3591","1131.1"
"132285000","2285300","3592","1140.5"
"133364000","2285300","3591","1149.0"
"134450000","2285300","3591","1158.0"
"135786000","2285300","3590","1169.0"
"136865000","2295200","3590","1177.5"
"137944000","2295200","3590","1186.5"
"139025000","2295200","3590","1195.4"
"140104000","2295200","3591","1204.4"
"141439000","2295200","3590","1215.4"
"142519000","2295200","3591","1224.3"
"143598000","2295200","3590","1233.3"
"144683000","2299400","3589","1242.2"
"145763000","2299400","3589","1251.2"
"147098000","2299400","3588","1262.2"
"148177000","2299400","3588","1271.1"
"149258000","2299400","3589","1280.5"
"150337000","2299400","3588","1289.0"
"151416000","2299400","3588","1298.0"
"152752000","2298200","3588","1309.0"
"153837000","2298200","3587","1317.9"
"154916000","2298200","3587","1326.9"
"155996000","2298200","3587","1335.8"
"157076000","2298200","3588","1344.8"
"158411000","2298200","3587","1355.8"
"159491000","2298200","3588","1364.7"
"160570000","2299600","3587","1373.7"
"161649000","2299600","3588","1382.2"
"162728000","2299600","3588","1391.2"
"164068000","2299600","3588","1402.2"
"165147000","2299600","3587","1411.1"
"166228000","2299600","3587","1420.1"
"167308000","2299600","3587","1429.0"
"168387000","2285300","3588","1438.0"
"169722000","2285300","3588","1449.0"
"170801000","2285300","3588","1458.4"
"171880000","2285300","3588","1466.9"
"172959000","2285300","3587","1475.9"
"174050000","2285300","3588","1485.2"
"175385000","2285300","3588","1495.8"
"176463000","2295800","3587","1504.8"
"177543000","2295800","3587","1513.7"
"178622000","2295800","3586","1522.7"
"179702000","2295800","3586","1531.6"
"181037000","2295800","3586","1542.6"
"182116000","2295800","3586","1551.6"
"183196000","2295800","3587","1560.9"
"184282000","2299300","3587","1569.5"
"185361000","2299300","3587","1578.4"
"186696000","2299300","3586","1589.4"
"187775000","2299300","3586","1598.4"
"188855000","2299300","3586","1607.7"
"189935000","2299300","3586","1616.3"
"191014000","2299300","3587","1625.6"
"192350000","2298400","3586","1636.2"
"193429000","2298400","3586","1644.8"
"194513000","2298400","3586","1653.7"
"195593000","2298400","3586","1662.7"
"196673000","2298400","3586","1671.6"
"198008000","2298400","3586","1682.6"
"199087000","2298400","3585","1692.0"
"200166000","2285400","3586","1700.5"
"201247000","2285400","3586","1709.5"
"202326000","2285400","3587","1718.4"
"203667000","2285400","3587","1729.4"
"204746000","2285400","3587","1738.4"
"205826000","2285400","3586","1747.3"
"206906000","2285400","3587","1756.3"
"207986000","2299100","3587","1765.3"
"209321000","2299100","3588","1775.8"
"210401000","2299100","3588","1785.2"
"211480000","2299100","3588","1793.7"
"212560000","2299100","3588","1802.7"
"213645000","2299100","3588","1811.7"
"214998000","2299100","3588","1822.6"
"216077000","2277500","3588","1831.6"
"217157000","2277500","3588","1840.6"
"218237000","2277500","3587","1849.5"
"219316000","2277500","3586","1858.5"
"220651000","2277500","3586","1869.5"
"221730000","2277500","3586","1878.4"
