Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3598","46.3"
"1080000","0","3575","55.3"
"2159000","2285600","3577","64.3"
"3238000","2285600","3581","73.2"
"4317000","2285600","3578","81.8"
"5652000","2285600","3582","92.7"
"6736000","2285600","3579","101.7"
"7815000","2285600","3579","110.7"
"8893000","2285600","3579","119.6"
"9973000","2300800","3585","129.0"
"11307000","2300800","3584","139.6"
"12387000","2300800","3588","148.1"
"13467000","2300800","3587","157.1"
"14546000","2300800","3589","166.4"
"15625000","2300800","3587","175.0"
"16970000","2300800","3587","186.0"
"18050000","2281700","3590","195.3"
"19129000","2281700","3591","203.5"
"20209000","2281700","3590","212.4"
"21288000","2281700","3589","221.4"
"22623000","2281700","3589","232.4"
"23702000","2281700","3590","241.7"
"24780000","2281700","3590","250.3"
"25865000","2256700","3590","258.8"
"26944000","2256700","3590","267.8"
"28278000","2256700","3589","278.8"
"29357000","2256700","3590","288.1"
"30436000","2256700","3590","297.1"
"31515000","2256700","3591","306.0"
"32595000","2256700","3590","314.2"
"33930000","2285000","3590","325.2"
"35010000","2285000","3589","334.1"
"36095000","2285000","3589","343.1"
"37175000","2285000","3590","352.4"
"38253000","2285000","3590","361.0"
"39587000","2285000","3591","371.6"
"40666000","2285000","3591","380.9"
"41746000","2285600","3591","389.5"
"42825000","2285600","3591","398.4"
"43904000","2285600","3591","407.4"
"45240000","2285600","3591","418.0"
"46324000","2285600","3591","427.3"
"47405000","2285600","3591","436.3"
"48484000","2285600","3591","444.8"
"49563000","2299600","3591","454.2"
"50899000","2299600","3591","464.8"
"51977000","2299600","3591","473.7"
"53055000","2299600","3590","482.3"
"54135000","2299600","3591","491.2"
"55214000","2299600","3591","500.2"
"56555000","2299600","3591","511.6"
"57634000","2283300","3592","520.5"
"58718000","2283300","3592","529.5"
"59798000","2283300","3592","538.0"
"60878000","2283300","3592","547.0"
"62212000","2283300","3592","558.0"
"63291000","2283300","3592","566.5"
"64370000","2283300","3592","575.5"
"65449000","2285800","3593","584.8"
"66534000","2285800","3592","593.4"
"67869000","2285800","3593","604.0"
"68950000","2285800","3591","612.9"
"70029000","2285800","3592","621.9"
"71108000","2285800","3592","631.2"
"72186000","2285800","3592","639.4"
