Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3576","46.3"
"1079000","0","3578","55.3"
"2158000","2286400","3582","64.3"
"3237000","2286400","3587","73.2"
"4316000","2286400","3583","81.8"
"5650000","2286400","3588","92.7"
"6729000","2286400","3582","101.7"
"7808000","2286400","3583","110.7"
"8893000","2286400","3585","119.2"
"9972000","2271400","3587","128.2"
"11306000","2271400","3588","139.1"
"12385000","2271400","3587","148.5"
"13465000","2271400","3590","157.5"
"14544000","2271400","3587","166.0"
"15623000","2271400","3587","175.0"
"16958000","2271400","3587","186.0"
"18036000","2285300","3586","194.5"
"19121000","2285300","3587","203.5"
"20201000","2285300","3586","212.4"
"21280000","2285300","3585","221.4"
"22614000","2285300","3587","232.8"
"23693000","2285300","3586","241.3"
"24771000","2285300","3586","250.3"
"25851000","2285800","3588","258.8"
"26935000","2285800","3588","267.8"
"28268000","2285800","3588","278.8"
"29353000","2285800","3588","287.7"
"30432000","2285800","3587","296.7"
"31511000","2285800","3589","306.0"
"32590000","2285800","3588","314.6"
"33926000","2282200","3589","325.2"
"35005000","2282200","3588","334.5"
"36083000","2282200","3588","343.1"
"37162000","2282200","3588","352.0"
"38241000","2282200","3588","361.0"
"39581000","2282200","3588","371.6"
"40661000","2282200","3588","380.5"
"41740000","2286200","3587","389.5"
"42817000","2286200","3587","398.8"
"43897000","2286200","3587","407.4"
"45231000","2286200","3587","418.4"
"46310000","2286200","3588","427.7"
"47389000","2286200","3588","435.9"
"48467000","2286200","3589","444.8"
"49552000","2286800","3589","453.8"
"50887000","2286800","3589","464.8"
"51966000","2286800","3588","473.7"
"53045000","2286800","3589","483.1"
"54124000","2286800","3589","492.0"
"55203000","2286800","3589","500.6"
"56537000","2286800","3589","511.2"
"57617000","2285000","3589","520.1"
"58700000","2285000","3588","529.1"
"59779000","2285000","3588","538.0"
"60858000","2285000","3588","547.0"
"62193000","2285000","3588","558.0"
"63273000","2285000","3588","566.5"
"64352000","2285000","3589","575.5"
"65431000","2286200","3588","584.4"
"66508000","2286200","3588","593.8"
"67843000","2286200","3587","604.4"
"68933000","2286200","3588","613.3"
"70012000","2286200","3587","622.3"
"71091000","2286200","3588","631.2"
"72170000","2286200","3588","639.8"
"73505000","2282400","3588","650.8"
"74584000","2282400","3588","659.7"
"75663000","2282400","3587","668.7"
"76742000","2282400","3587","677.6"
"77821000","2282400","3588","686.6"
"79162000","2282400","3587","697.6"
"80241000","2282400","3587","706.1"
