Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","3084200","3625","63.6"
"1092000","3084200","3598","75.0"
"2185000","3084200","3608","87.6"
"3278000","3084200","3605","99.0"
"4372000","3084200","3595","111.3"
"5721000","3029000","3593","125.9"
"6819000","3029000","3597","137.8"
"7912000","3029000","3599","150.0"
"9005000","3029000","3598","161.8"
"10098000","3029000","3600","174.5"
"11451000","3044100","3600","188.7"
"12544000","3044100","3600","201.4"
"13637000","3044100","3597","213.2"
"14730000","3044100","3595","225.0"
"15823000","3044100","3595","236.9"
"17176000","3086300","3594","252.4"
"18269000","3086300","3594","264.2"
"19362000","3086300","3592","276.0"
"20456000","3086300","3594","287.8"
"21549000","3086300","3594","300.5"
"22897000","3029000","3593","314.7"
"23990000","3029000","3593","327.0"
"25083000","3029000","3594","339.2"
"26176000","3029000","3594","351.4"
"27275000","3029000","3594","362.9"
"28624000","3065400","3593","377.9"
"29718000","3065400","3593","390.2"
"30811000","3065400","3591","402.0"
"31905000","3065400","3593","413.8"
"32999000","3065400","3592","426.1"
"34347000","3047900","3593","440.7"
"35441000","3047900","3593","453.4"
"36534000","3047900","3593","464.8"
"37633000","3047900","3593","477.4"
"38726000","3047900","3593","489.3"
"40075000","3085300","3593","504.3"
"41168000","3085300","3592","516.2"
"42262000","3085300","3593","528.4"
"43355000","3085300","3592","540.2"
"44449000","3085300","3593","552.5"
"45798000","3028000","3593","566.7"
"46896000","3028000","3593","579.4"
"47990000","3028000","3593","591.2"
"49084000","3028000","3593","603.4"
"50178000","3028000","3593","615.7"
"51527000","3084200","3593","630.3"
"52620000","3084200","3593","642.6"
"53718000","3084200","3593","654.4"
"54811000","3084200","3592","666.6"
"55904000","3084200","3592","678.1"
"57259000","3043100","3592","693.1"
"58353000","3043100","3592","705.4"
"59446000","3043100","3591","717.6"
"60539000","3043100","3592","729.8"
"61633000","3043100","3592","741.7"
"62982000","3067400","3592","756.3"
"64076000","3067400","3592","768.2"
"65170000","3067400","3591","780.4"
"66263000","3067400","3591","792.2"
"67362000","3067400","3590","804.5"
"68712000","3044100","3591","819.1"
"69806000","3044100","3590","831.4"
"70899000","3044100","3591","843.6"
"71993000","3044100","3591","855.8"
"73086000","3044100","3591","867.7"
"74434000","3048200","3592","881.9"
"75527000","3048200","3591","894.2"
"76620000","3048200","3593","906.0"
"77719000","3048200","3592","918.6"
"78813000","3048200","3592","930.9"
"80161000","3085600","3593","945.5"
"81254000","3085600","3593","957.4"
"82348000","3085600","3592","969.6"
"83441000","3085600","3591","981.4"
