Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3576","46.3"
"1132000","0","3593","56.1"
"2211000","2285900","3595","64.7"
"3289000","2285900","3590","73.6"
"4368000","2285900","3594","83.0"
"5703000","2285900","3592","94.0"
"6788000","2285900","3595","102.9"
"7866000","2285900","3590","111.5"
"8945000","2285900","3589","120.4"
"10023000","2301100","3589","129.4"
"11357000","2301100","3587","140.4"
"12435000","2301100","3590","149.7"
"13513000","2301100","3589","158.3"
"14592000","2301100","3590","166.8"
"15671000","2301100","3588","175.8"
"17011000","2301100","3589","186.8"
"18090000","2284600","3587","195.7"
"19168000","2284600","3586","204.7"
"20247000","2284600","3586","213.6"
"21325000","2284600","3587","222.6"
"22658000","2284600","3586","233.2"
"23737000","2284600","3586","242.1"
"24815000","2284600","3585","251.1"
"25899000","2287700","3587","260.0"
"26978000","2287700","3586","269.0"
"28312000","2287700","3586","280.0"
"29391000","2287700","3586","289.4"
"30470000","2287700","3586","297.9"
"31549000","2287700","3586","306.9"
"32629000","2287700","3587","315.8"
"33963000","2299300","3586","326.8"
"35042000","2299300","3586","335.3"
"36127000","2299300","3588","345.1"
"37206000","2299300","3587","353.7"
"38285000","2299300","3589","362.2"
"39620000","2299300","3589","373.6"
"40699000","2299300","3589","382.6"
"41778000","2286000","3589","391.1"
"42856000","2286000","3589","400.5"
"43939000","2286000","3589","409.0"
"45273000","2286000","3589","420.0"
"46357000","2286000","3589","429.4"
"47436000","2286000","3588","437.9"
"48514000","2286000","3588","446.9"
"49594000","2300000","3588","455.8"
"50928000","2300000","3589","467.2"
"52007000","2300000","3588","475.8"
"53085000","2300000","3588","484.3"
"54164000","2300000","3588","493.3"
"55243000","2300000","3588","502.2"
"56583000","2300000","3589","513.2"
"57662000","2284300","3588","522.2"
"58741000","2284300","3588","531.1"
"59820000","2284300","3588","540.1"
"60898000","2284300","3587","549.0"
"62232000","2284300","3588","560.0"
"63311000","2284300","3587","568.6"
"64389000","2284300","3588","577.9"
"65468000","2288300","3587","586.5"
"66553000","2288300","3587","595.4"
"67888000","2288300","3588","606.8"
"68967000","2288300","3588","615.8"
"70046000","2288300","3588","624.7"
"71125000","2288300","3588","632.9"
"72204000","2288300","3589","642.2"
"73538000","2283700","3589","652.8"
"74617000","2283700","3589","661.8"
"75696000","2283700","3589","670.7"
"76780000","2283700","3589","679.7"
"77859000","2283700","3588","688.6"
"79193000","2283700","3589","699.6"
"80272000","2283700","3588","708.6"
"81351000","2301100","3589","717.5"
"82428000","2301100","3589","726.1"
"83507000","2301100","3589","735.0"
"84841000","2301100","3588","746.0"
"85930000","2301100","3588","755.0"
"87008000","2301100","3589","764.4"
"88086000","2301100","3589","773.3"
"89164000","2286200","3588","781.9"
"90498000","2286200","3589","792.8"
"91577000","2286200","3589","801.4"
"92656000","2286200","3588","810.3"
"93733000","2286200","3589","819.3"
"94812000","2286200","3587","828.3"
"96151000","2286200","3588","839.7"
"97229000","2285200","3587","848.2"
"98309000","2285200","3588","857.6"
"99388000","2285200","3588","866.5"
"100466000","2285200","3589","875.1"
"101801000","2285200","3588","885.6"
"102880000","2285200","3588","894.6"
"103959000","2285200","3589","903.6"
"105038000","2287700","3589","912.5"
"106122000","2287700","3588","921.5"
"107456000","2287700","3588","932.5"
"108535000","2287700","3588","941.4"
"109614000","2287700","3588","950.4"
"110693000","2287700","3588","958.9"
"111771000","2287700","3588","968.3"
"113106000","2284300","3587","978.9"
"114184000","2284300","3587","987.8"
"115262000","2284300","3586","996.8"
"116347000","2284300","3587","1005.7"
"117426000","2284300","3587","1015.1"
"118761000","2284300","3587","1025.7"
"119840000","2284300","3587","1034.6"
"120918000","2301100","3586","1043.6"
"121996000","2301100","3588","1052.1"
"123075000","2301100","3588","1061.1"
"124408000","2301100","3587","1072.1"
"125488000","2301100","3586","1081.0"
"126572000","2301100","3586","1090.0"
"127655000","2301100","3586","1098.9"
"128735000","2285300","3586","1107.9"
"130069000","2285300","3586","1118.5"
"131147000","2285300","3586","1127.8"
"132227000","2285300","3586","1136.4"
"133306000","2285300","3586","1145.3"
"134385000","2285300","3587","1154.3"
"135719000","2285300","3587","1165.3"
"136804000","2283900","3587","1174.2"
"137884000","2283900","3587","1183.2"
"138963000","2283900","3587","1192.1"
"140042000","2283900","3587","1201.1"
"141376000","2283900","3587","1211.7"
"142455000","2283900","3587","1220.6"
"143534000","2283900","3586","1229.6"
"144613000","2302300","3586","1238.9"
"145692000","2302300","3586","1247.5"
"147031000","2302300","3586","1258.5"
"148110000","2302300","3586","1267.8"
"149189000","2302300","3587","1276.4"
"150268000","2302300","3586","1285.3"
"151347000","2302300","3586","1293.9"
"152681000","2270100","3586","1304.9"
"153759000","2270100","3586","1313.8"
"154839000","2270100","3585","1322.8"
"155923000","2270100","3585","1331.7"
"157001000","2270100","3585","1341.1"
"158334000","2270100","3586","1352.1"
"159414000","2270100","3585","1360.6"
"160493000","2286600","3586","1369.2"
"161572000","2286600","3586","1378.1"
"162650000","2286600","3587","1387.1"
"163986000","2286600","3588","1398.5"
"165065000","2286600","3588","1407.0"
"166149000","2286600","3588","1416.0"
"167228000","2286600","3588","1425.0"
"168307000","2300800","3588","1433.9"
"169646000","2300800","3588","1444.9"
"170725000","2300800","3589","1453.9"
"171804000","2300800","3589","1462.4"
"172883000","2300800","3589","1471.4"
"173962000","2300800","3589","1480.3"
"175298000","2300800","3590","1491.3"
"176382000","2282200","3590","1500.3"
"177461000","2282200","3590","1509.6"
"178539000","2282200","3590","1518.2"
"179618000","2282200","3590","1527.1"
"180951000","2282200","3590","1538.5"
"182030000","2282200","3590","1547.1"
"183109000","2282200","3590","1556.0"
"184188000","2302900","3590","1565.0"
"185267000","2302900","3590","1573.9"
"186608000","2302900","3590","1585.3"
"187687000","2302900","3590","1593.9"
"188765000","2302900","3590","1602.4"
"189843000","2302900","3590","1611.4"
"190922000","2302900","3590","1620.7"
"192256000","2284400","3589","1631.3"
"193335000","2284400","3590","1640.7"
"194414000","2284400","3590","1649.6"
"195492000","2284400","3590","1657.8"
"196576000","2284400","3591","1667.1"
"197911000","2284400","3591","1677.7"
"198990000","2284400","3591","1687.1"
"200068000","2286600","3592","1695.6"
"201148000","2286600","3591","1704.6"
"202227000","2286600","3592","1713.5"
"203562000","2286600","3592","1724.5"
"204641000","2286600","3591","1733.5"
"205719000","2286600","3592","1742.0"
"206804000","2286600","3591","1751.0"
"207882000","2286000","3592","1759.9"
"209216000","2286000","3591","1770.9"
"210295000","2286000","3591","1779.9"
"211378000","2286000","3591","1788.8"
"212457000","2286000","3591","1797.8"
"213536000","2286000","3591","1806.7"
"214869000","2286000","3591","1817.3"
"215954000","2283300","3591","1826.3"
"217033000","2283300","3591","1835.2"
"218112000","2283300","3591","1844.6"
"219190000","2283300","3590","1853.1"
"220524000","2283300","3589","1864.1"
"221602000","2283300","3590","1873.1"
"222681000","2283300","3590","1881.6"
"223760000","2288500","3590","1890.6"
"224839000","2288500","3590","1899.5"
"226179000","2288500","3590","1910.5"
"227258000","2288500","3589","1919.5"
"228338000","2288500","3589","1928.9"
"229417000","2288500","3590","1937.8"
"230496000","2288500","3590","1945.9"
"231830000","2283500","3590","1956.9"
"232909000","2283500","3590","1965.9"
"233987000","2283500","3590","1974.8"
"235066000","2283500","3589","1983.8"
"236151000","2283500","3589","1992.8"
"237485000","2283500","3589","2003.7"
"238564000","2283500","3590","2012.7"
"239643000","2286400","3589","2021.2"
"240722000","2286400","3590","2030.2"
"241800000","2286400","3590","2039.2"
"243134000","2286400","3589","2050.1"
"244213000","2286400","3590","2059.1"
"245293000","2286400","3590","2068.1"
"246377000","2286400","3590","2076.6"
"247456000","2286600","3590","2085.6"
"248789000","2286600","3590","2096.5"
"249868000","2286600","3589","2105.5"
"250947000","2286600","3589","2114.5"
"252026000","2286600","3589","2123.4"
"253110000","2286600","3588","2132.0"
"254444000","2286600","3588","2142.9"
"255522000","2284600","3588","2151.9"
"256607000","2284600","3588","2161.3"
"257685000","2284600","3588","2170.2"
"258764000","2284600","3588","2178.8"
"260098000","2284600","3587","2189.8"
"261177000","2284600","3588","2198.7"
"262256000","2284600","3588","2208.1"
"263335000","2301100","3588","2216.6"
"264414000","2301100","3588","2225.2"
"265748000","2301100","3590","2236.6"
"266832000","2301100","3590","2245.5"
"267909000","2301100","3590","2254.5"
"268988000","2301100","3590","2263.0"
"270067000","2301100","3590","2272.0"
"271401000","2284600","3589","2283.0"
"272479000","2284600","3590","2291.5"
"273557000","2284600","3589","2300.5"
"274642000","2284600","3589","2309.4"
"275721000","2284600","3589","2318.4"
"277061000","2284600","3589","2329.4"
"278139000","2284600","3589","2338.3"
"279218000","2285300","3588","2347.3"
"280298000","2285300","3588","2356.2"
"281376000","2285300","3588","2365.2"
"282709000","2285300","3589","2375.8"
"283788000","2285300","3589","2384.7"
"284866000","2285300","3588","2393.7"
"285951000","2285300","3587","2402.6"
"287030000","2301300","3588","2412.0"
"288364000","2301300","3587","2422.6"
"289443000","2301300","3587","2431.5"
"290523000","2301300","3588","2440.5"
"291602000","2301300","3587","2449.0"
"292680000","2301300","3588","2458.0"
"294014000","2301300","3587","2469.0"
"295097000","2270300","3586","2477.9"
"296182000","2270300","3587","2486.9"
"297261000","2270300","3586","2495.8"
"298340000","2270300","3586","2504.8"
"299675000","2270300","3586","2515.4"
"300754000","2270300","3587","2524.3"
"301834000","2270300","3587","2533.3"
"302912000","2285800","3586","2542.2"
"303991000","2285800","3586","2551.6"
"305325000","2285800","3586","2562.2"
"306409000","2285800","3587","2571.1"
"307488000","2285800","3587","2580.1"
"308567000","2285800","3587","2589.0"
"309646000","2285800","3587","2597.6"
"310980000","2284300","3587","2608.6"
"312059000","2284300","3586","2617.5"
"313137000","2284300","3586","2626.5"
"314216000","2284300","3587","2635.9"
"315294000","2284300","3587","2644.4"
"316634000","2284300","3588","2655.0"
"317713000","2284300","3588","2663.9"
"318792000","2286800","3587","2672.9"
"319871000","2286800","3586","2681.8"
"320950000","2286800","3587","2690.8"
"322284000","2286800","3586","2702.2"
"323363000","2286800","3587","2711.2"
