Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3612","46.3"
"1080000","0","3584","54.9"
"2159000","2271400","3583","63.8"
"3239000","2271400","3585","72.8"
"4318000","2271400","3596","81.3"
"5654000","2271400","3594","92.3"
"6734000","2271400","3591","101.3"
"7813000","2271400","3590","110.2"
"8893000","2271400","3590","119.2"
"9978000","2284500","3590","128.2"
"11319000","2284500","3595","138.7"
"12398000","2284500","3594","147.7"
"13478000","2284500","3593","156.6"
"14558000","2284500","3595","166.0"
"15637000","2284500","3593","174.6"
"16972000","2284500","3592","185.5"
"18051000","2283000","3592","194.5"
"19130000","2283000","3591","203.0"
"20215000","2283000","3593","212.0"
"21295000","2283000","3592","221.0"
"22630000","2283000","3593","232.4"
"23709000","2283000","3591","240.9"
"24788000","2283000","3591","249.9"
"25867000","2285400","3591","258.8"
"26946000","2285400","3590","267.4"
"28281000","2285400","3590","278.3"
"29367000","2285400","3589","287.3"
"30446000","2285400","3590","296.7"
"31525000","2285400","3589","305.2"
"32604000","2285400","3588","314.2"
"33939000","2283200","3588","325.2"
"35019000","2283200","3588","334.1"
"36098000","2283200","3588","342.7"
"37177000","2283200","3587","351.6"
"38256000","2283200","3587","360.6"
"39597000","2283200","3588","372.0"
"40676000","2283200","3587","380.5"
"41754000","2300200","3588","389.9"
"42835000","2300200","3587","398.4"
"43913000","2300200","3588","407.4"
"45249000","2300200","3588","418.0"
"46329000","2300200","3587","426.9"
"47408000","2300200","3587","435.9"
"48488000","2300200","3587","444.8"
"49573000","2270100","3587","453.8"
"50908000","2270100","3588","464.4"
"51987000","2270100","3587","473.3"
"53071000","2270100","3587","482.3"
"54151000","2270100","3587","491.2"
"55230000","2270100","3587","500.2"
"56564000","2270100","3587","511.6"
"57644000","2269400","3587","519.7"
"58723000","2269400","3588","528.7"
"59808000","2269400","3587","537.6"
"60887000","2269400","3586","546.6"
"62222000","2269400","3586","557.6"
"63302000","2269400","3587","566.5"
"64381000","2269400","3587","575.1"
"65460000","2285400","3586","584.0"
"66539000","2285400","3586","593.0"
"67873000","2285400","3585","604.4"
"68953000","2285400","3585","612.9"
"70037000","2285400","3585","621.5"
"71116000","2285400","3584","630.4"
"72195000","2285400","3585","639.4"
"73531000","2297400","3585","650.8"
"74611000","2297400","3585","659.3"
"75690000","2297400","3586","667.9"
"76770000","2297400","3585","676.8"
"77850000","2297400","3586","685.8"
"79185000","2297400","3585","696.8"
"80270000","2297400","3586","706.1"
"81349000","2285100","3586","715.1"
"82428000","2285100","3586","723.2"
"83506000","2285100","3586","732.6"
"84841000","2285100","3586","743.2"
"85920000","2285100","3586","752.1"
"87000000","2285100","3585","761.1"
"88079000","2285100","3587","770.4"
"89159000","2272700","3587","779.0"
"90499000","2272700","3587","790.0"
"91578000","2272700","3587","798.9"
"92657000","2272700","3587","807.5"
"93736000","2272700","3587","816.8"
"94821000","2272700","3588","825.4"
"96155000","2272700","3587","836.4"
"97235000","2281900","3587","845.3"
"98314000","2281900","3586","854.3"
"99398000","2281900","3586","863.2"
"100477000","2281900","3586","872.2"
"101810000","2281900","3585","883.2"
"102889000","2281900","3587","891.7"
"103968000","2281900","3587","900.7"
"105047000","2286800","3587","909.6"
"106126000","2286800","3587","918.6"
"107461000","2286800","3587","929.2"
"108540000","2286800","3588","938.1"
"109626000","2286800","3588","947.1"
"110705000","2286800","3588","956.4"
"111784000","2286800","3588","965.0"
"113119000","2297100","3588","976.4"
"114199000","2297100","3588","985.3"
"115279000","2297100","3588","993.9"
"116357000","2297100","3588","1002.4"
"117437000","2297100","3588","1011.4"
"118772000","2297100","3588","1022.4"
"119857000","2297100","3588","1031.7"
"120936000","2270500","3588","1040.3"
"122016000","2270500","3589","1049.2"
"123094000","2270500","3588","1058.2"
"124429000","2270500","3588","1068.8"
"125508000","2270500","3588","1078.1"
"126588000","2270500","3588","1086.7"
"127668000","2270500","3588","1095.6"
"128747000","2287100","3589","1104.6"
"130088000","2287100","3588","1115.6"
"131168000","2287100","3588","1124.5"
"132247000","2287100","3588","1133.1"
"133327000","2287100","3587","1142.0"
"134405000","2287100","3587","1151.4"
"135740000","2287100","3588","1162.0"
"136824000","2281500","3587","1170.9"
"137904000","2281500","3586","1179.9"
"138982000","2281500","3587","1188.9"
"140066000","2281500","3586","1197.8"
"141401000","2281500","3586","1208.8"
"142480000","2281500","3586","1217.8"
"143559000","2281500","3587","1226.3"
"144638000","2286400","3586","1235.3"
"145717000","2286400","3586","1244.2"
"147052000","2286400","3586","1255.2"
"148132000","2286400","3586","1264.2"
"149211000","2286400","3586","1273.1"
"150296000","2286400","3586","1282.5"
"151374000","2286400","3585","1291.0"
"152709000","2283300","3586","1301.6"
"153788000","2283300","3586","1310.6"
"154866000","2283300","3586","1319.5"
"155946000","2283300","3586","1328.5"
"157025000","2283300","3586","1337.4"
"158359000","2283300","3586","1348.0"
"159444000","2283300","3586","1357.0"
"160524000","2285800","3586","1365.9"
"161604000","2285800","3586","1374.9"
"162684000","2285800","3586","1383.8"
"164019000","2285800","3585","1394.4"
"165099000","2285800","3585","1403.4"
"166179000","2285800","3585","1412.3"
"167258000","2285800","3584","1421.7"
"168337000","2286200","3584","1430.2"
"169678000","2286200","3584","1441.6"
"170757000","2286200","3583","1450.2"
"171837000","2286200","3584","1459.1"
"172917000","2286200","3584","1468.1"
"173997000","2286200","3584","1477.0"
"175332000","2286200","3584","1487.6"
"176410000","2282800","3583","1496.6"
"177490000","2282800","3584","1505.5"
"178572000","2282800","3583","1514.5"
"179657000","2282800","3584","1523.0"
"180992000","2282800","3583","1534.0"
"182071000","2282800","3583","1543.0"
"183150000","2282800","3583","1551.9"
"184229000","2284700","3583","1560.9"
"185308000","2284700","3582","1569.8"
"186643000","2284700","3583","1580.4"
"187722000","2284700","3583","1589.4"
"188801000","2284700","3583","1598.7"
"189886000","2284700","3583","1607.3"
"190965000","2284700","3583","1616.6"
"192300000","2283500","3583","1627.2"
"193379000","2283500","3585","1635.8"
"194458000","2283500","3584","1644.7"
"195537000","2283500","3584","1653.7"
"196616000","2283500","3585","1663.0"
"197950000","2283500","3584","1673.6"
"199029000","2283500","3585","1682.2"
"200113000","2271600","3584","1691.1"
"201193000","2271600","3584","1700.1"
"202272000","2271600","3585","1709.0"
"203607000","2271600","3585","1720.0"
"204688000","2271600","3585","1729.0"
"205767000","2271600","3585","1737.9"
"206846000","2271600","3585","1746.5"
"207926000","2286600","3585","1755.4"
"209261000","2286600","3584","1766.4"
"210346000","2286600","3586","1775.0"
"211424000","2286600","3586","1783.9"
"212503000","2286600","3586","1792.9"
"213584000","2286600","3586","1801.8"
"214919000","2286600","3586","1812.8"
"215998000","2283200","3586","1821.8"
"217076000","2283200","3586","1830.3"
"218155000","2283200","3586","1839.3"
"219233000","2283200","3585","1848.2"
"220579000","2283200","3586","1859.2"
"221660000","2283200","3586","1868.2"
"222739000","2283200","3586","1876.7"
"223819000","2269400","3586","1885.7"
"224899000","2269400","3586","1894.6"
"226233000","2269400","3586","1905.6"
"227312000","2269400","3587","1914.2"
"228392000","2269400","3586","1923.1"
"229477000","2269400","3587","1932.1"
"230555000","2269400","3587","1941.0"
"231890000","2283300","3586","1952.0"
"232970000","2283300","3587","1961.4"
"234049000","2283300","3587","1969.9"
"235128000","2283300","3587","1978.5"
"236208000","2283300","3587","1987.4"
"237543000","2283300","3588","1998.4"
"238622000","2283300","3587","2007.4"
"239706000","2285400","3587","2016.3"
"240786000","2285400","3587","2025.3"
"241866000","2285400","3587","2033.8"
"243200000","2285400","3587","2044.8"
"244279000","2285400","3587","2053.8"
"245358000","2285400","3586","2062.7"
"246437000","2285400","3587","2071.7"
"247516000","2272700","3586","2080.2"
"248851000","2272700","3587","2091.6"
"249935000","2272700","3585","2100.2"
"251015000","2272700","3585","2109.1"
"252094000","2272700","3586","2118.5"
"253172000","2272700","3585","2127.0"
"254507000","2272700","3586","2137.6"
"255586000","2283700","3585","2146.6"
"256665000","2283700","3585","2155.5"
"257744000","2283700","3586","2164.9"
"258822000","2283700","3586","2173.0"
"260161000","2283700","3587","2184.8"
"261241000","2283700","3587","2193.0"
"262325000","2283700","3587","2201.9"
"263404000","2284900","3586","2210.9"
"264485000","2284900","3587","2219.8"
"265819000","2284900","3587","2230.8"
"266898000","2284900","3586","2239.8"
"267977000","2284900","3586","2248.7"
"269056000","2284900","3586","2257.7"
"270142000","2284900","3586","2266.2"
"271477000","2283000","3585","2277.2"
"272556000","2283000","3585","2286.2"
"273635000","2283000","3585","2295.1"
"274715000","2283000","3586","2304.1"
"275794000","2283000","3585","2312.6"
"277129000","2283000","3585","2323.6"
"278208000","2283000","3585","2332.6"
"279287000","2287100","3585","2341.5"
"280372000","2287100","3585","2350.5"
"281452000","2287100","3586","2359.4"
"282785000","2287100","3585","2370.4"
"283864000","2287100","3585","2379.0"
"284942000","2287100","3585","2387.9"
"286021000","2287100","3584","2396.9"
"287100000","2301100","3585","2406.2"
"288433000","2301100","3585","2416.8"
"289519000","2301100","3585","2425.4"
"290598000","2301100","3585","2434.3"
"291677000","2301100","3584","2443.3"
"292757000","2301100","3585","2452.2"
"294090000","2301100","3585","2463.6"
"295170000","2255300","3585","2471.8"
"296250000","2255300","3586","2480.7"
"297329000","2255300","3585","2489.7"
"298408000","2255300","3585","2498.6"
"299749000","2255300","3584","2509.6"
"300829000","2255300","3585","2518.6"
"301908000","2255300","3585","2527.5"
"302988000","2299400","3586","2536.5"
"304072000","2299400","3585","2545.4"
"305406000","2299400","3585","2556.0"
"306485000","2299400","3586","2565.0"
"307565000","2299400","3586","2573.9"
"308645000","2299400","3585","2582.9"
"309729000","2299400","3585","2591.4"
"311064000","2267800","3585","2602.4"
"312144000","2267800","3585","2611.4"
"313223000","2267800","3586","2620.3"
"314303000","2267800","3585","2628.9"
"315383000","2267800","3585","2637.8"
"316717000","2267800","3584","2648.8"
"317796000","2267800","3584","2657.8"
"318876000","2286900","3584","2666.7"
"319960000","2286900","3585","2675.3"
"321040000","2286900","3584","2684.2"
"322375000","2286900","3584","2695.6"
"323454000","2286900","3584","2704.2"
"324533000","2286900","3584","2713.1"
"325612000","2286900","3585","2721.7"
"326692000","2270900","3584","2730.6"
"328026000","2270900","3585","2741.6"
"329106000","2270900","3585","2751.0"
"330191000","2270900","3585","2759.5"
"331271000","2270900","3585","2768.9"
"332351000","2270900","3585","2777.4"
"333687000","2270900","3585","2788.4"
"334766000","2296500","3586","2797.4"
"335847000","2296500","3586","2805.9"
"336926000","2296500","3586","2814.9"
"338005000","2296500","3585","2823.8"
