Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3599","46.3"
"1079000","0","3584","55.3"
"2158000","2285300","3587","64.3"
"3238000","2285300","3576","73.2"
"4321000","2285300","3575","82.2"
"5657000","2285300","3574","93.2"
"6736000","2285300","3580","102.5"
"7821000","2285300","3576","111.1"
"8900000","2285300","3576","120.0"
"9980000","2298500","3577","129.0"
"11314000","2298500","3579","140.0"
"12394000","2298500","3577","148.9"
"13472000","2298500","3579","157.9"
"14552000","2298500","3578","166.4"
"15630000","2298500","3579","175.4"
"16966000","2298500","3577","186.4"
"18051000","2283300","3578","195.3"
"19130000","2283300","3580","204.7"
"20210000","2283300","3579","213.2"
"21289000","2283300","3580","222.2"
"22624000","2283300","3581","233.2"
"23703000","2283300","3580","241.7"
"24783000","2283300","3580","250.7"
"25862000","2286900","3581","259.6"
"26942000","2286900","3580","268.6"
"28283000","2286900","3580","279.6"
"29362000","2286900","3581","288.5"
"30441000","2286900","3581","297.5"
"31520000","2286900","3580","306.4"
"32600000","2286900","3581","315.4"
"33934000","2297100","3581","326.4"
"35014000","2297100","3581","335.3"
"36093000","2297100","3583","343.9"
"37177000","2297100","3583","352.8"
"38257000","2297100","3584","361.8"
"39592000","2297100","3584","372.8"
"40672000","2297100","3584","381.7"
"41751000","2285300","3584","390.7"
"42831000","2285300","3584","399.7"
"43910000","2285300","3584","409.0"
"45245000","2285300","3584","420.0"
"46329000","2285300","3585","429.0"
"47414000","2285300","3585","437.9"
"48494000","2285300","3585","446.0"
"49572000","2284100","3585","455.0"
"50909000","2284100","3586","466.4"
"51988000","2284100","3585","474.9"
"53067000","2284100","3585","483.9"
"54147000","2284100","3585","492.9"
"55225000","2284100","3585","501.8"
"56559000","2284100","3585","512.4"
"57644000","2283200","3585","521.3"
"58723000","2283200","3585","530.3"
"59803000","2283200","3586","539.3"
"60883000","2283200","3586","548.2"
"62218000","2283200","3586","559.2"
"63298000","2283200","3586","568.2"
"64378000","2283200","3587","577.1"
"65456000","2301100","3587","586.1"
"66536000","2301100","3587","594.6"
"67876000","2301100","3586","605.6"
"68955000","2301100","3588","615.0"
"70035000","2301100","3587","623.5"
"71114000","2301100","3588","632.1"
"72194000","2301100","3587","641.0"
"73529000","2268900","3587","652.0"
"74608000","2268900","3588","661.4"
"75686000","2268900","3587","669.9"
"76765000","2268900","3588","678.5"
"77849000","2268900","3588","687.8"
"79185000","2268900","3588","698.4"
"80265000","2268900","3588","707.4"
"81345000","2300000","3589","716.7"
"82424000","2300000","3590","725.7"
"83504000","2300000","3590","734.2"
"84839000","2300000","3590","744.8"
"85918000","2300000","3589","753.8"
"86998000","2300000","3589","762.7"
"88088000","2300000","3590","771.7"
"89168000","2269000","3590","780.6"
"90503000","2269000","3590","791.2"
"91583000","2269000","3590","800.6"
"92663000","2269000","3590","809.5"
"93743000","2269000","3590","818.5"
"94822000","2269000","3589","827.0"
"96157000","2269000","3590","837.6"
"97242000","2268300","3589","846.6"
"98321000","2268300","3590","855.9"
"99400000","2268300","3590","864.5"
"100480000","2268300","3589","873.4"
"101815000","2268300","3590","884.8"
"102894000","2268300","3589","893.4"
"103974000","2268300","3589","901.9"
"105054000","2286800","3589","910.9"
"106132000","2286800","3589","919.8"
"107474000","2286800","3588","930.8"
"108553000","2286800","3590","940.2"
"109633000","2286800","3590","948.3"
"110713000","2286800","3590","957.7"
"111793000","2286800","3591","966.2"
"113129000","2282200","3591","977.2"
"114208000","2282200","3591","986.6"
"115287000","2282200","3591","995.1"
"116366000","2282200","3591","1004.1"
"117451000","2282200","3591","1012.6"
"118786000","2282200","3591","1024.0"
"119865000","2282200","3590","1032.6"
"120944000","2300200","3591","1041.9"
"122024000","2300200","3590","1050.5"
"123104000","2300200","3592","1059.0"
"124439000","2300200","3591","1070.0"
"125517000","2300200","3590","1079.0"
"126597000","2300200","3590","1087.9"
"127682000","2300200","3591","1097.3"
"128761000","2270700","3591","1105.8"
"130101000","2270700","3592","1116.4"
"131181000","2270700","3591","1125.4"
"132260000","2270700","3591","1134.3"
"133340000","2270700","3590","1143.3"
"134419000","2270700","3591","1152.6"
"135754000","2270700","3591","1162.8"
"136833000","2269000","3591","1171.8"
"137918000","2269000","3590","1180.7"
"138997000","2269000","3589","1189.7"
"140078000","2269000","3590","1198.6"
"141413000","2269000","3590","1209.6"
"142492000","2269000","3590","1218.2"
"143572000","2269000","3590","1227.5"
"144651000","2284900","3590","1236.1"
"145731000","2284900","3589","1245.0"
"147065000","2284900","3590","1256.0"
"148149000","2284900","3589","1264.6"
"149229000","2284900","3589","1273.9"
"150309000","2284900","3589","1282.5"
"151389000","2284900","3590","1291.0"
"152724000","2268900","3589","1302.0"
"153803000","2268900","3589","1311.0"
"154882000","2268900","3588","1319.9"
"155961000","2268900","3589","1328.9"
"157040000","2268900","3589","1337.8"
"158381000","2268900","3589","1348.4"
"159461000","2268900","3589","1357.4"
"160541000","2285300","3589","1366.3"
"161620000","2285300","3589","1375.3"
"162701000","2285300","3589","1384.2"
"164035000","2285300","3589","1395.2"
"165115000","2285300","3588","1403.8"
"166194000","2285300","3589","1412.7"
"167279000","2285300","3588","1421.7"
"168358000","2285100","3588","1430.6"
"169693000","2285100","3588","1442.0"
"170772000","2285100","3588","1450.2"
"171857000","2285100","3588","1459.1"
"172937000","2285100","3587","1468.1"
"174016000","2285100","3588","1477.0"
"175352000","2285100","3587","1488.0"
"176432000","2282600","3588","1497.0"
"177517000","2282600","3587","1505.9"
"178596000","2282600","3588","1514.5"
"179676000","2282600","3587","1523.4"
"181010000","2282600","3588","1534.8"
"182090000","2282600","3588","1543.4"
"183170000","2282600","3588","1551.9"
"184249000","2270700","3587","1560.9"
"185328000","2270700","3587","1569.8"
"186663000","2270700","3587","1580.8"
"187748000","2270700","3587","1589.8"
"188827000","2270700","3588","1598.3"
"189907000","2270700","3588","1607.3"
"190986000","2270700","3587","1616.2"
"192320000","2283300","3587","1627.2"
"193399000","2283300","3586","1635.8"
"194478000","2283300","3587","1644.7"
"195557000","2283300","3587","1653.7"
"196637000","2283300","3586","1662.6"
"197978000","2283300","3587","1674.0"
"199057000","2283300","3588","1683.0"
"200137000","2270700","3588","1691.1"
"201216000","2270700","3588","1700.1"
"202295000","2270700","3589","1709.4"
"203630000","2270700","3588","1720.0"
"204710000","2270700","3589","1728.6"
"205790000","2270700","3587","1737.5"
"206869000","2270700","3587","1746.5"
"207953000","2285400","3586","1755.4"
"209288000","2285400","3587","1766.4"
"210368000","2285400","3587","1775.4"
"211447000","2285400","3588","1783.9"
"212526000","2285400","3587","1792.9"
"213610000","2285400","3587","1801.8"
"214945000","2285400","3586","1812.8"
"216023000","2269400","3586","1821.4"
"217103000","2269400","3587","1830.7"
"218188000","2269400","3586","1839.3"
"219268000","2269400","3586","1848.2"
"220603000","2269400","3586","1859.2"
"221682000","2269400","3587","1868.6"
"222762000","2269400","3587","1876.7"
"223841000","2285100","3587","1885.7"
"224921000","2285100","3587","1894.6"
"226255000","2285100","3586","1905.6"
"227340000","2285100","3587","1914.2"
"228420000","2285100","3586","1923.1"
"229499000","2285100","3587","1932.1"
"230578000","2285100","3587","1941.0"
"231913000","2283000","3586","1952.0"
"232992000","2283000","3586","1961.0"
"234071000","2283000","3586","1969.5"
"235150000","2283000","3586","1978.9"
"236230000","2283000","3585","1987.4"
"237570000","2283000","3585","1998.4"
"238650000","2283000","3585","2007.4"
"239730000","2285400","3585","2016.3"
"240809000","2285400","3586","2025.3"
"241889000","2285400","3586","2033.8"
"243224000","2285400","3585","2044.8"
"244303000","2285400","3585","2053.8"
"245383000","2285400","3586","2063.1"
"246463000","2285400","3587","2071.3"
"247549000","2284700","3587","2080.6"
"248883000","2284700","3587","2091.2"
"249963000","2284700","3586","2100.2"
"251043000","2284700","3586","2109.1"
"252121000","2284700","3587","2118.1"
"253201000","2284700","3587","2126.6"
"254536000","2284700","3587","2138.0"
"255621000","2268900","3586","2146.6"
"256700000","2268900","3585","2155.5"
"257785000","2268900","3585","2164.1"
"258863000","2268900","3585","2173.4"
"260197000","2268900","3585","2184.0"
"261277000","2268900","3585","2193.4"
"262357000","2268900","3586","2201.9"
"263436000","2271200","3586","2210.5"
"264516000","2271200","3586","2219.4"
