Time,Voltage (V),Current (A),Power (W),Temperature (°C),Data+ (V),Data- (V),Resistance (Ω),Accumulated current (mAh),Accumulated power (mWh),Accumulated time (seconds)
2020-09-27 00:20:43,5.191,0.6947,3.606,24.0,1.03,0.49,7.4,58990,99184,242482
2020-09-27 00:20:44,5.192,0.6944,3.605,24.0,1.03,0.49,7.4,58990,99185,242483
2020-09-27 00:20:45,5.192,0.6943,3.604,24.0,1.01,0.49,7.4,58990,99187,242485
2020-09-27 00:20:47,5.201,0.6938,3.608,24.0,1.03,0.49,7.4,58990,99188,242486
2020-09-27 00:20:48,5.189,0.6938,3.6,24.0,1.03,0.49,7.4,58991,99189,242487
2020-09-27 00:20:49,5.192,0.6941,3.603,24.0,1.03,0.49,7.4,58991,99191,242489
2020-09-27 00:20:51,5.192,0.6943,3.604,24.0,1.03,0.49,7.4,58991,99192,242490
2020-09-27 00:20:52,5.191,0.6259,3.249,24.0,1.03,0.49,8.2,58991,99193,242491
2020-09-27 00:20:53,5.191,0.6942,3.603,24.0,1.03,0.49,7.4,58992,99195,242493
2020-09-27 00:20:55,5.192,0.6944,3.605,24.0,1.02,0.49,7.4,58992,99196,242494
2020-09-27 00:20:56,5.192,0.6944,3.605,24.0,1.03,0.49,7.4,58992,99197,242495
2020-09-27 00:20:57,5.192,0.695,3.608,24.0,1.03,0.49,7.4,58992,99199,242497
2020-09-27 00:20:59,5.203,0.6938,3.609,24.0,1.03,0.49,7.4,58993,99200,242498
2020-09-27 00:21:00,5.192,0.6948,3.607,24.0,1.03,0.49,7.4,58993,99201,242499
2020-09-27 00:21:01,5.191,0.6948,3.606,24.0,1.03,0.49,7.4,58993,99203,242501
2020-09-27 00:21:03,5.192,0.6948,3.607,24.0,1.03,0.49,7.4,58993,99204,242502
2020-09-27 00:21:04,5.191,0.6947,3.606,24.0,1.03,0.49,7.4,58994,99205,242503
2020-09-27 00:21:05,5.189,0.6948,3.605,24.0,1.03,0.49,7.4,58994,99207,242505
2020-09-27 00:21:07,5.191,0.6948,3.606,24.0,1.03,0.49,7.4,58994,99208,242506
2020-09-27 00:21:08,5.191,0.6946,3.605,24.0,1.03,0.49,7.4,58995,99210,242508
2020-09-27 00:21:09,5.191,0.6944,3.604,24.0,1.01,0.49,7.4,58995,99211,242509
2020-09-27 00:21:11,5.191,0.6251,3.244,24.0,1.01,0.49,8.3,58995,99212,242510
2020-09-27 00:21:12,5.192,0.7082,3.676,24.0,1.03,0.49,7.3,58995,99214,242512
2020-09-27 00:21:13,5.192,0.6948,3.607,24.0,1.03,0.49,7.4,58995,99215,242513
2020-09-27 00:21:15,5.191,0.7084,3.677,24.0,1.03,0.49,7.3,58996,99216,242514
2020-09-27 00:21:16,5.203,0.6911,3.595,24.0,1.03,0.49,7.5,58996,99218,242516
2020-09-27 00:21:17,5.191,0.6948,3.606,24.0,1.03,0.49,7.4,58996,99219,242517
2020-09-27 00:21:19,5.212,0.5667,2.953,24.0,1.03,0.49,9.1,58996,99220,242518
2020-09-27 00:21:20,5.213,0.5667,2.954,24.0,1.03,0.49,9.1,58997,99221,242520
