Time,Voltage (V),Current (A),Power (W),Temperature (°C),Data+ (V),Data- (V),Resistance (Ω),Accumulated current (mAh),Accumulated power (mWh),Accumulated time (seconds)
2020-09-27 00:19:36,5.224,0.4956,2.589,24.0,1.01,0.49,10.5,58977,99120,242415
2020-09-27 00:19:37,5.213,0.5495,2.864,24.0,1.01,0.49,9.4,58977,99121,242416
2020-09-27 00:19:38,5.215,0.6487,3.382,24.0,0.99,0.48,8.0,58978,99123,242418
2020-09-27 00:19:40,5.193,0.6771,3.516,24.0,1.01,0.49,7.6,58978,99124,242419
2020-09-27 00:19:41,5.192,0.6946,3.606,24.0,1.03,0.49,7.4,58978,99125,242420
2020-09-27 00:19:42,5.192,0.6936,3.601,24.0,1.03,0.49,7.4,58979,99127,242422
2020-09-27 00:19:44,5.192,0.6938,3.602,24.0,1.03,0.49,7.4,58979,99128,242423
2020-09-27 00:19:45,5.192,0.6939,3.602,24.0,1.03,0.49,7.4,58979,99129,242424
2020-09-27 00:19:46,5.192,0.6941,3.603,24.0,1.03,0.49,7.4,58979,99131,242426
2020-09-27 00:19:48,5.192,0.6938,3.602,24.0,1.03,0.49,7.4,58979,99132,242427
2020-09-27 00:19:49,5.203,0.6937,3.609,24.0,1.03,0.49,7.5,58980,99133,242428
2020-09-27 00:19:50,5.192,0.6937,3.601,24.0,1.03,0.49,7.4,58980,99135,242430
2020-09-27 00:19:52,5.192,0.6936,3.601,24.0,1.03,0.49,7.4,58980,99136,242431
2020-09-27 00:19:53,5.192,0.6932,3.599,24.0,1.02,0.49,7.4,58980,99137,242432
2020-09-27 00:19:54,5.192,0.6747,3.503,24.0,1.03,0.49,7.6,58981,99139,242434
2020-09-27 00:19:56,5.189,0.6938,3.6,24.0,1.03,0.5,7.4,58981,99140,242435
2020-09-27 00:19:57,5.192,0.6939,3.602,24.0,1.03,0.49,7.4,58981,99141,242436
2020-09-27 00:19:58,5.191,0.6944,3.604,24.0,1.03,0.49,7.4,58982,99143,242438
2020-09-27 00:20:00,5.192,0.6943,3.604,24.0,1.03,0.49,7.4,58982,99144,242439
2020-09-27 00:20:01,5.192,0.685,3.556,24.0,1.01,0.49,7.5,58982,99145,242440
2020-09-27 00:20:02,5.192,0.7054,3.662,24.0,1.01,0.48,7.3,58982,99147,242442
2020-09-27 00:20:04,5.192,0.6954,3.61,24.0,1.01,0.49,7.4,58983,99148,242443
2020-09-27 00:20:05,5.192,0.7027,3.648,24.0,1.01,0.49,7.3,58983,99149,242444
2020-09-27 00:20:06,5.191,0.6948,3.606,24.0,1.01,0.49,7.4,58983,99151,242446
2020-09-27 00:20:08,5.192,0.6946,3.606,24.0,1.01,0.49,7.4,58983,99152,242447
2020-09-27 00:20:09,5.203,0.6265,3.259,24.0,1.01,0.49,8.3,58984,99153,242448
2020-09-27 00:20:10,5.203,0.6229,3.24,24.0,1.01,0.49,8.3,58984,99154,242450
2020-09-27 00:20:12,5.203,0.6245,3.249,24.0,1.01,0.49,8.3,58984,99155,242451
2020-09-27 00:20:13,5.201,0.6233,3.241,24.0,1.01,0.48,8.3,58984,99156,242452
2020-09-27 00:20:14,5.203,0.6231,3.241,24.0,1.01,0.48,8.3,58985,99158,242454
2020-09-27 00:20:16,5.203,0.6229,3.24,24.0,1.01,0.49,8.3,58985,99159,242455
2020-09-27 00:20:17,5.203,0.623,3.241,24.0,1.01,0.48,8.3,58985,99160,242456
2020-09-27 00:20:18,5.203,0.6269,3.261,24.0,1.01,0.48,8.2,58985,99162,242458
2020-09-27 00:20:20,5.203,0.6229,3.24,24.0,1.01,0.49,8.3,58985,99163,242459
2020-09-27 00:20:21,5.203,0.6271,3.262,24.0,1.01,0.48,8.2,58986,99163,242460
2020-09-27 00:20:23,5.203,0.6268,3.261,24.0,1.01,0.48,8.3,58986,99165,242462
2020-09-27 00:20:24,5.203,0.6231,3.241,24.0,1.03,0.49,8.3,58986,99166,242463
2020-09-27 00:20:25,5.203,0.6267,3.26,24.0,1.01,0.49,8.3,58986,99168,242465
2020-09-27 00:20:27,5.203,0.6229,3.24,24.0,1.03,0.49,8.3,58987,99169,242466
2020-09-27 00:20:28,5.203,0.6231,3.241,24.0,1.03,0.49,8.3,58987,99170,242467
2020-09-27 00:20:29,5.202,0.623,3.24,24.0,1.03,0.49,8.3,58987,99172,242469
2020-09-27 00:20:31,5.203,0.6231,3.241,24.0,1.03,0.49,8.3,58987,99172,242470
2020-09-27 00:20:32,5.203,0.6234,3.243,24.0,1.03,0.49,8.3,58988,99173,242471
2020-09-27 00:20:33,5.203,0.6231,3.241,24.0,1.03,0.49,8.3,58988,99175,242473
2020-09-27 00:20:35,5.203,0.6267,3.26,24.0,1.03,0.49,8.3,58988,99176,242474
2020-09-27 00:20:36,5.203,0.6816,3.546,24.0,1.03,0.49,7.6,58988,99177,242475
2020-09-27 00:20:37,5.193,0.6783,3.522,24.0,1.03,0.49,7.6,58989,99179,242477
2020-09-27 00:20:39,5.194,0.6781,3.522,24.0,1.03,0.49,7.6,58989,99180,242478
2020-09-27 00:20:40,5.192,0.6757,3.508,24.0,1.03,0.49,7.6,58989,99181,242479
2020-09-27 00:20:41,5.192,0.6947,3.606,24.0,1.03,0.49,7.4,58989,99183,242481
