Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3575","45.9"
"1079000","0","3584","54.9"
"2158000","2283600","3585","64.3"
"3237000","2283600","3595","73.2"
"4315000","2283600","3588","81.8"
"5649000","2283600","3596","92.3"
"6728000","2283600","3593","101.3"
"7808000","2283600","3591","110.2"
"8893000","2283600","3591","119.2"
"9972000","2271600","3590","128.2"
"11308000","2271600","3591","139.1"
"12387000","2271600","3589","147.7"
"13467000","2271600","3592","157.1"
"14547000","2271600","3592","166.0"
"15626000","2271600","3590","174.6"
"16960000","2271600","3591","185.1"
"18044000","2283000","3591","194.5"
"19124000","2283000","3591","203.0"
"20202000","2283000","3590","212.0"
"21281000","2283000","3592","220.5"
"22617000","2283000","3592","231.9"
"23696000","2283000","3592","240.9"
"24776000","2283000","3592","249.4"
"25856000","2272200","3594","258.4"
"26936000","2272200","3594","266.9"
"28276000","2272200","3594","277.9"
"29356000","2272200","3592","286.9"
"30434000","2272200","3592","295.8"
"31514000","2272200","3591","304.8"
"32593000","2272200","3592","313.8"
"33928000","2283200","3591","324.7"
"35006000","2283200","3591","333.3"
"36086000","2283200","3590","342.2"
"37170000","2283200","3592","351.6"
"38255000","2283200","3591","360.2"
"39589000","2283200","3591","371.1"
"40669000","2283200","3591","379.7"
"41748000","2284300","3591","389.1"
"42828000","2284300","3591","397.6"
"43906000","2284300","3591","406.6"
"45242000","2284300","3591","417.1"
"46321000","2284300","3592","426.1"
"47400000","2284300","3591","435.5"
"48486000","2284300","3591","444.0"
"49566000","2270500","3591","453.0"
"50901000","2270500","3591","463.5"
"51980000","2270500","3591","472.5"
"53059000","2270500","3591","481.4"
"54138000","2270500","3591","490.4"
"55217000","2270500","3591","499.4"
"56552000","2270500","3591","510.3"
"57632000","2270700","3590","518.9"
"58716000","2270700","3591","527.8"
"59796000","2270700","3590","536.8"
"60876000","2270700","3590","545.8"
"62211000","2270700","3589","556.7"
"63291000","2270700","3590","565.3"
"64371000","2270700","3590","574.2"
"65450000","2284900","3590","583.2"
"66529000","2284900","3590","592.2"
"67864000","2284900","3590","602.7"
"68949000","2284900","3590","611.7"
"70029000","2284900","3589","620.6"
"71109000","2284900","3589","629.6"
"72189000","2284900","3590","639.0"
"73523000","2268500","3589","649.1"
"74603000","2268500","3590","658.1"
"75683000","2268500","3589","667.0"
"76762000","2268500","3590","676.0"
"77841000","2268500","3589","684.5"
"79186000","2268500","3589","695.5"
"80265000","2268500","3588","704.9"
"81345000","2283900","3588","713.4"
"82424000","2283900","3587","722.4"
"83503000","2283900","3589","731.8"
"84838000","2283900","3588","741.9"
"85917000","2283900","3589","750.9"
"86997000","2283900","3589","759.8"
"88082000","2283900","3589","768.8"
"89162000","2285300","3589","777.8"
"90497000","2285300","3589","788.3"
"91576000","2285300","3590","797.7"
"92657000","2285300","3589","806.2"
"93735000","2285300","3589","815.6"
"94815000","2285300","3589","824.2"
"96149000","2285300","3589","835.1"
"97228000","2284800","3588","844.1"
"98312000","2284800","3588","852.6"
"99391000","2284800","3588","861.6"
"100471000","2284800","3588","870.6"
"101806000","2284800","3589","882.0"
"102886000","2284800","3588","890.1"
"103966000","2284800","3588","899.0"
"105045000","2285100","3589","908.4"
"106125000","2285100","3589","917.0"
"107460000","2285100","3589","927.5"
"108545000","2285100","3590","936.5"
"109624000","2285100","3589","945.4"
"110703000","2285100","3589","954.4"
"111783000","2285100","3589","963.3"
"113118000","2254600","3590","973.9"
"114199000","2254600","3591","982.9"
"115278000","2254600","3590","991.8"
"116356000","2254600","3590","1000.8"
"117436000","2254600","3590","1009.7"
"118775000","2254600","3590","1020.3"
"119854000","2254600","3589","1029.3"
"120940000","2283700","3589","1038.2"
"122020000","2283700","3589","1047.2"
"123099000","2283700","3589","1056.1"
"124435000","2283700","3589","1066.7"
"125514000","2283700","3589","1075.7"
"126593000","2283700","3589","1084.6"
"127672000","2283700","3591","1093.2"
"128757000","2285300","3590","1102.5"
"130092000","2285300","3590","1113.1"
"131170000","2285300","3589","1122.1"
"132249000","2285300","3589","1131.0"
"133329000","2285300","3589","1139.6"
"134408000","2285300","3589","1148.9"
"135742000","2285300","3589","1159.9"
"136822000","2271000","3589","1168.5"
"137901000","2271000","3589","1177.4"
"138986000","2271000","3589","1186.4"
"140064000","2271000","3588","1194.9"
"141399000","2271000","3588","1206.3"
"142478000","2271000","3588","1214.9"
"143558000","2271000","3587","1223.8"
"144638000","2285600","3587","1232.8"
"145717000","2285600","3587","1241.7"
"147052000","2285600","3588","1252.3"
"148136000","2285600","3587","1261.3"
"149216000","2285600","3588","1270.2"
"150295000","2285600","3587","1279.2"
"151375000","2285600","3587","1288.1"
"152710000","2283000","3587","1299.1"
"153789000","2283000","3587","1307.7"
"154869000","2283000","3587","1316.6"
"155948000","2283000","3588","1326.0"
"157027000","2283000","3588","1334.1"
"158368000","2283000","3587","1345.1"
"159447000","2283000","3586","1354.1"
"160527000","2270700","3587","1363.0"
"161607000","2270700","3586","1372.0"
"162687000","2270700","3587","1380.5"
"164026000","2270700","3586","1391.5"
