Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3607","46.8"
"1080000","0","3580","55.3"
"2159000","2288500","3582","64.3"
"3237000","2288500","3589","73.6"
"4317000","2288500","3584","82.2"
"5656000","2288500","3584","93.2"
"6734000","2288500","3589","102.5"
"7813000","2288500","3589","111.5"
"8891000","2288500","3589","120.0"
"9970000","2301300","3590","129.0"
"11305000","2301300","3591","140.4"
"12383000","2301300","3591","149.3"
"13462000","2301300","3592","158.3"
"14546000","2301300","3589","166.8"
"15630000","2301300","3588","175.8"
"16964000","2301300","3591","187.2"
"18042000","2297300","3589","195.7"
"19121000","2297300","3589","204.7"
"20200000","2297300","3590","213.6"
"21279000","2297300","3589","222.2"
"22612000","2297300","3589","233.2"
"23691000","2297300","3588","242.1"
"24776000","2297300","3589","251.1"
"25854000","2286800","3588","260.0"
"26932000","2286800","3588","269.0"
"28267000","2286800","3589","280.4"
"29346000","2286800","3589","289.4"
"30426000","2286800","3590","298.3"
"31505000","2286800","3589","306.9"
"32584000","2286800","3589","315.8"
"33919000","2299100","3589","326.8"
"35005000","2299100","3590","336.2"
"36082000","2299100","3591","345.1"
"37161000","2299100","3590","353.7"
"38240000","2299100","3590","362.6"
"39574000","2299100","3590","373.2"
"40653000","2299100","3589","382.2"
"41732000","2301000","3590","391.5"
"42811000","2301000","3588","400.1"
"43890000","2301000","3589","409.4"
"45229000","2301000","3588","420.0"
"46306000","2301000","3588","429.0"
"47386000","2301000","3590","437.5"
"48465000","2301000","3590","446.5"
"49544000","2272400","3590","455.4"
"50877000","2272400","3590","466.4"
"51956000","2272400","3590","475.4"
"53035000","2272400","3589","484.3"
"54114000","2272400","3589","493.3"
"55198000","2272400","3589","502.2"
"56594000","2272400","3589","513.6"
"57673000","2294900","3589","522.6"
"58751000","2294900","3589","531.5"
"59830000","2294900","3588","540.5"
"60909000","2294900","3589","549.4"
"62242000","2294900","3589","560.8"
"63320000","2294900","3589","569.4"
"64405000","2294900","3589","578.8"
"65483000","2301900","3589","587.3"
"66562000","2301900","3589","596.3"
"67897000","2301900","3588","607.2"
"68975000","2301900","3588","615.8"
"70053000","2301900","3588","624.7"
"71131000","2301900","3588","633.7"
"72209000","2301900","3588","642.7"
"73543000","2286400","3587","653.6"
"74628000","2286400","3587","662.6"
