Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3583","47.2"
"1079000","0","3582","55.7"
"2158000","2300000","3583","64.7"
"3237000","2300000","3585","73.6"
"4317000","2300000","3587","82.6"
"5651000","2300000","3582","93.6"
"6735000","2300000","3582","102.5"
"7814000","2300000","3584","111.5"
"8893000","2300000","3583","120.0"
"9972000","2286000","3587","129.0"
"11306000","2286000","3586","140.0"
"12386000","2286000","3588","149.3"
"13465000","2286000","3585","157.9"
"14544000","2286000","3588","167.2"
"15623000","2286000","3587","175.8"
"16962000","2286000","3586","186.8"
"18041000","2298200","3587","195.7"
"19120000","2298200","3586","204.3"
"20199000","2298200","3587","213.2"
"21278000","2298200","3587","222.2"
"22612000","2298200","3588","233.2"
"23691000","2298200","3586","242.1"
"24770000","2298200","3586","251.1"
"25853000","2301100","3587","260.5"
"26933000","2301100","3587","269.4"
"28268000","2301100","3587","280.0"
"29347000","2301100","3589","289.4"
"30426000","2301100","3588","297.9"
"31504000","2301100","3588","306.9"
"32583000","2301100","3588","315.8"
"33917000","2285500","3587","326.8"
"34994000","2285500","3588","335.8"
"36079000","2285500","3587","344.3"
"37158000","2285500","3587","353.3"
"38242000","2285500","3587","362.2"
"39577000","2285500","3587","373.2"
"40656000","2285500","3587","382.2"
"41735000","2284900","3587","391.1"
"42813000","2284900","3586","400.1"
"43892000","2284900","3587","408.6"
"45226000","2284900","3586","419.6"
"46310000","2284900","3586","429.0"
"47389000","2284900","3585","437.5"
"48468000","2284900","3585","446.5"
"49547000","2286600","3586","455.4"
"50882000","2286600","3585","466.4"
"51960000","2286600","3586","475.8"
"53039000","2286600","3587","483.9"
"54119000","2286600","3587","492.9"
"55197000","2286600","3587","501.8"
"56537000","2286600","3587","513.2"
"57615000","2284300","3588","521.8"
"58694000","2284300","3588","531.1"
"59772000","2284300","3587","539.7"
"60851000","2284300","3587","548.6"
"62186000","2284300","3589","560.0"
"63265000","2284300","3589","568.6"
