Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3581","46.3"
"1085000","0","3581","55.3"
"2165000","2285100","3584","64.3"
"3249000","2285100","3590","73.2"
"4329000","2285100","3587","81.8"
"5664000","2285100","3589","92.7"
"6743000","2285100","3585","101.7"
"7823000","2285100","3585","110.7"
"8902000","2285100","3586","119.6"
"9981000","2271100","3585","128.2"
"11320000","2271100","3585","139.1"
"12401000","2271100","3585","148.1"
"13480000","2271100","3585","157.1"
"14560000","2271100","3586","166.0"
"15640000","2271100","3586","175.0"
"16974000","2271100","3587","186.0"
"18052000","2297300","3587","194.9"
"19133000","2297300","3587","203.5"
"20212000","2297300","3586","212.0"
"21297000","2297300","3586","221.0"
"22631000","2297300","3586","231.9"
"23711000","2297300","3586","240.9"
"24790000","2297300","3585","249.4"
"25869000","2256300","3585","258.4"
"26948000","2256300","3587","267.8"
"28283000","2256300","3586","278.3"
"29363000","2256300","3587","286.9"
"30440000","2256300","3587","296.3"
"31526000","2256300","3587","304.8"
"32605000","2256300","3588","314.2"
"33940000","2269200","3587","324.3"
"35020000","2269200","3588","333.7"
"36099000","2269200","3587","342.2"
"37178000","2269200","3588","351.6"
"38258000","2269200","3587","360.2"
"39593000","2269200","3587","371.1"
"40678000","2269200","3587","380.1"
"41757000","2285300","3588","388.6"
"42837000","2285300","3587","397.6"
"43917000","2285300","3587","406.6"
"45257000","2285300","3587","417.5"
"46337000","2285300","3587","426.5"
"47416000","2285300","3587","435.0"
"48494000","2285300","3586","444.0"
"49574000","2285300","3586","453.0"
"50914000","2285300","3586","463.9"
"51994000","2285300","3586","472.9"
"53073000","2285300","3586","481.4"
"54152000","2285300","3586","490.4"
"55232000","2285300","3586","499.4"
"56566000","2285300","3586","509.9"
"57645000","2269200","3586","518.9"
"58725000","2269200","3586","527.8"
"59804000","2269200","3585","536.8"
"60890000","2269200","3586","545.8"
"62224000","2269200","3586","556.3"
"63304000","2269200","3587","565.3"
"64384000","2269200","3586","574.2"
"65463000","2284900","3585","583.2"
"66543000","2284900","3586","592.2"
"67877000","2284900","3586","603.1"
"68957000","2284900","3586","611.7"
"70037000","2284900","3586","620.6"
"71121000","2284900","3585","629.6"
"72200000","2284900","3586","638.6"
"73534000","2269200","3585","649.1"
"74612000","2269200","3585","658.1"
"75692000","2269200","3585","667.5"
"76771000","2269200","3585","676.0"
"77850000","2269200","3586","684.5"
"79185000","2269200","3585","695.5"
"80264000","2269200","3585","704.5"
"81349000","2300400","3586","713.9"
"82427000","2300400","3586","722.0"
"83507000","2300400","3586","730.9"
"84842000","2300400","3585","741.9"
"85921000","2300400","3585","750.9"
"87000000","2300400","3585","759.4"
"88084000","2300400","3585","768.8"
"89163000","2257000","3584","777.3"
"90504000","2257000","3585","788.3"
"91584000","2257000","3585","797.7"
"92663000","2257000","3585","806.2"
"93743000","2257000","3585","814.8"
"94822000","2257000","3585","823.7"
"96156000","2257000","3585","834.7"
"97236000","2268500","3585","843.3"
"98315000","2268500","3584","852.2"
"99395000","2268500","3585","861.6"
"100480000","2268500","3585","870.1"
"101815000","2268500","3586","881.5"
"102895000","2268500","3585","890.1"
"103974000","2268500","3586","898.6"
"105052000","2285600","3586","907.6"
"106132000","2285600","3586","916.5"
"107466000","2285600","3587","927.9"
"108546000","2285600","3586","936.1"
"109625000","2285600","3587","945.0"
"110710000","2285600","3587","954.0"
"111790000","2285600","3587","962.9"
"113125000","2282800","3587","973.9"
"114205000","2282800","3587","982.9"
"115284000","2282800","3588","991.8"
"116364000","2282800","3587","1000.4"
"117444000","2282800","3587","1009.7"
"118778000","2282800","3587","1020.3"
"119857000","2282800","3587","1029.3"
"120941000","2271100","3588","1037.8"
"122020000","2271100","3588","1046.8"
"123100000","2271100","3588","1055.7"
"124435000","2271100","3588","1067.1"
"125514000","2271100","3588","1075.3"
"126593000","2271100","3588","1084.2"
"127672000","2271100","3588","1093.2"
"128751000","2301700","3588","1102.5"
"130091000","2301700","3589","1113.1"
"131176000","2301700","3589","1122.1"
"132255000","2301700","3588","1131.0"
"133334000","2301700","3588","1140.0"
"134413000","2301700","3588","1148.5"
"135748000","2301700","3588","1159.5"
"136826000","2268100","3588","1168.5"
"137905000","2268100","3587","1177.0"
"138984000","2268100","3588","1186.4"
"140061000","2268100","3588","1194.9"
"141402000","2268100","3589","1206.3"
"142481000","2268100","3589","1214.9"
"143559000","2268100","3589","1223.4"
"144637000","2272400","3589","1232.4"
"145716000","2272400","3589","1241.3"
"147051000","2272400","3589","1252.3"
"148129000","2272400","3589","1260.9"
"149208000","2272400","3588","1269.8"
"150287000","2272400","3588","1278.8"
"151371000","2272400","3589","1287.7"
"152706000","2284100","3589","1298.7"
"153786000","2284100","3589","1307.3"
"154865000","2284100","3589","1316.2"
"155946000","2284100","3588","1325.2"
"157025000","2284100","3590","1334.5"
"158360000","2284100","3589","1345.1"
"159440000","2284100","3590","1353.7"
"160525000","2270100","3589","1362.6"
"161604000","2270100","3590","1371.6"
"162684000","2270100","3590","1380.5"
"164019000","2270100","3589","1391.5"
"165098000","2270100","3589","1400.1"
"166177000","2270100","3589","1409.0"
"167257000","2270100","3589","1418.0"
"168335000","2272600","3590","1426.5"
"169671000","2272600","3589","1437.5"
"170756000","2272600","3589","1446.5"
"171840000","2272600","3589","1455.4"
"172920000","2272600","3589","1464.4"
"173999000","2272600","3588","1472.9"
"175332000","2272600","3588","1483.9"
"176411000","2296000","3589","1493.3"
"177491000","2296000","3588","1501.4"
"178570000","2296000","3589","1510.8"
"179649000","2296000","3589","1519.3"
"180989000","2296000","3589","1530.7"
"182069000","2296000","3589","1538.9"
"183147000","2296000","3588","1547.8"
"184226000","2256900","3589","1556.8"
"185306000","2256900","3589","1566.1"
"186641000","2256900","3589","1576.7"
"187719000","2256900","3589","1585.3"
"188798000","2256900","3589","1594.6"
"189877000","2256900","3590","1603.6"
"190961000","2256900","3591","1612.5"
"192296000","2283700","3591","1623.1"
"193375000","2283700","3591","1631.7"
"194454000","2283700","3591","1640.6"
"195534000","2283700","3591","1650.0"
"196614000","2283700","3591","1658.5"
"197949000","2283700","3591","1669.1"
"199028000","2283700","3591","1678.1"
"200107000","2272400","3590","1687.0"
"201192000","2272400","3591","1695.6"
"202271000","2272400","3591","1704.9"
"203607000","2272400","3592","1715.9"
"204686000","2272400","3591","1724.5"
"205766000","2272400","3592","1733.0"
"206845000","2272400","3592","1742.0"
"207924000","2270700","3592","1750.9"
"209259000","2270700","3592","1762.3"
"210339000","2270700","3592","1770.4"
"211424000","2270700","3592","1779.4"
"212504000","2270700","3592","1788.4"
"213588000","2270700","3591","1797.3"
"214923000","2270700","3591","1808.3"
"216002000","2281300","3590","1817.3"
"217082000","2281300","3591","1825.8"
"218162000","2281300","3590","1834.8"
"219240000","2281300","3591","1844.1"
"220580000","2281300","3590","1854.7"
"221659000","2281300","3591","1863.7"
"222738000","2281300","3591","1872.2"
"223817000","2271200","3591","1881.2"
"224897000","2271200","3591","1890.1"
"226232000","2271200","3592","1901.5"
"227311000","2271200","3593","1909.6"
"228392000","2271200","3593","1919.0"
"229471000","2271200","3592","1927.6"
"230557000","2271200","3593","1936.9"
"231891000","2296500","3594","1947.9"
"232971000","2296500","3592","1956.0"
"234049000","2296500","3592","1965.0"
"235128000","2296500","3592","1974.0"
"236208000","2296500","3592","1982.9"
"237543000","2296500","3593","1993.5"
"238623000","2296500","3593","2002.4"
"239702000","2258000","3593","2011.4"
"240787000","2258000","3594","2020.8"
"241867000","2258000","3594","2029.7"
"243202000","2258000","3594","2039.9"
"244280000","2258000","3594","2048.8"
