Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3581","46.3"
"1080000","0","3583","55.3"
"2159000","2287100","3588","64.3"
"3245000","2287100","3584","72.8"
"4324000","2287100","3584","81.8"
"5659000","2287100","3586","92.7"
"6739000","2287100","3584","101.3"
"7817000","2287100","3582","110.2"
"8897000","2287100","3582","119.2"
"9977000","2270500","3588","128.2"
"11311000","2270500","3586","138.7"
"12390000","2270500","3586","147.7"
"13474000","2270500","3586","156.6"
"14554000","2270500","3587","165.2"
"15633000","2270500","3584","174.1"
"16968000","2270500","3584","185.1"
"18047000","2283500","3586","194.5"
"19126000","2283500","3587","203.5"
"20206000","2283500","3587","211.6"
"21285000","2283500","3588","221.0"
"22620000","2283500","3587","231.5"
"23704000","2283500","3586","240.5"
"24783000","2283500","3586","249.4"
"25863000","2271100","3587","258.4"
"26943000","2271100","3586","266.9"
"28278000","2271100","3585","277.9"
"29357000","2271100","3585","286.9"
"30440000","2271100","3586","295.4"
"31519000","2271100","3586","304.4"
"32598000","2271100","3585","313.3"
"33938000","2268000","3586","324.3"
"35017000","2268000","3585","332.9"
"36096000","2268000","3586","342.2"
"37175000","2268000","3587","351.2"
"38254000","2268000","3586","359.3"
"39589000","2268000","3586","370.3"
"40669000","2268000","3586","379.3"
"41749000","2287100","3588","388.6"
"42829000","2287100","3587","396.8"
"43913000","2287100","3588","405.7"
"45247000","2287100","3587","416.7"
"46326000","2287100","3587","425.7"
"47406000","2287100","3588","434.6"
"48485000","2287100","3587","443.2"
"49563000","2271400","3588","452.5"
"50898000","2271400","3588","462.7"
"51978000","2271400","3588","471.7"
"53058000","2271400","3588","480.6"
"54141000","2271400","3588","489.6"
"55220000","2271400","3587","498.5"
"56556000","2271400","3588","509.1"
"57635000","2254900","3588","518.1"
"58714000","2254900","3588","526.6"
"59793000","2254900","3588","535.6"
"60873000","2254900","3588","544.9"
"62208000","2254900","3588","555.1"
"63293000","2254900","3588","564.1"
"64372000","2254900","3589","573.4"
"65452000","2270700","3589","582.0"
"66532000","2270700","3588","591.3"
"67866000","2270700","3589","601.5"
"68945000","2270700","3589","610.5"
"70024000","2270700","3588","619.4"
"71103000","2270700","3589","628.0"
"72187000","2270700","3590","636.9"
"73529000","2267600","3590","647.9"
"74608000","2267600","3590","656.9"
"75687000","2267600","3589","665.8"
"76767000","2267600","3589","674.4"
"77846000","2267600","3588","683.3"
"79180000","2267600","3589","694.3"
"80260000","2267600","3589","702.8"
"81339000","2272600","3589","711.8"
"82418000","2272600","3588","720.8"
"83502000","2272600","3588","729.7"
"84837000","2272600","3589","740.7"
"85916000","2272600","3589","749.2"
"86996000","2272600","3588","758.2"
"88075000","2272600","3588","767.2"
"89155000","2271100","3589","775.7"
"90489000","2271100","3589","786.7"
"91568000","2271100","3590","796.1"
"92647000","2271100","3589","804.6"
"93732000","2271100","3589","813.1"
"94812000","2271100","3588","822.1"
"96147000","2271100","3589","833.5"
"97225000","2269400","3589","841.6"
"98304000","2269400","3588","850.6"
"99383000","2269400","3588","860.0"
"100462000","2269400","3589","868.1"
"101797000","2269400","3589","879.5"
"102876000","2269400","3589","888.0"
"103961000","2269400","3589","897.4"
"105041000","2285600","3590","905.9"
"106121000","2285600","3589","914.5"
"107456000","2285600","3588","925.5"
"108534000","2285600","3589","934.4"
"109614000","2285600","3589","943.0"
"110693000","2285600","3589","952.3"
"111772000","2285600","3589","960.9"
"113113000","2283200","3590","972.3"
"114197000","2283200","3590","981.2"
"115277000","2283200","3589","989.8"
"116357000","2283200","3590","998.3"
"117436000","2283200","3588","1007.3"
"118771000","2283200","3588","1018.3"
"119851000","2283200","3588","1026.8"
"120930000","2256100","3588","1035.8"
"122008000","2256100","3588","1044.7"
"123086000","2256100","3587","1053.3"
"124427000","2256100","3588","1064.3"
"125505000","2256100","3587","1073.2"
"126585000","2256100","3587","1082.2"
"127664000","2256100","3587","1090.7"
"128743000","2271800","3585","1099.7"
"130077000","2271800","3585","1110.7"
"131156000","2271800","3585","1119.6"
"132235000","2271800","3585","1128.6"
"133320000","2271800","3585","1137.5"
"134400000","2271800","3586","1146.1"
"135735000","2271800","3586","1157.1"
"136814000","2283300","3585","1166.0"
"137893000","2283300","3586","1175.0"
"138973000","2283300","3587","1183.5"
"140053000","2283300","3586","1192.5"
"141387000","2283300","3586","1203.5"
"142467000","2283300","3586","1212.0"
"143552000","2283300","3586","1221.0"
"144631000","2270700","3586","1229.9"
"145710000","2270700","3585","1238.9"
"147045000","2270700","3585","1249.5"
"148124000","2270700","3585","1258.4"
"149202000","2270700","3585","1267.4"
"150281000","2270700","3584","1275.9"
"151362000","2270700","3585","1285.3"
"152697000","2270500","3584","1295.9"
"153782000","2270500","3584","1304.8"
"154862000","2270500","3584","1313.4"
"155947000","2270500","3583","1322.3"
"157026000","2270500","3582","1331.3"
"158359000","2270500","3583","1342.3"
"159439000","2270500","3583","1350.8"
"160518000","2269600","3581","1359.8"
"161598000","2269600","3582","1368.7"
"162677000","2269600","3582","1377.3"
"164018000","2269600","3582","1388.2"
"165097000","2269600","3582","1397.2"
"166178000","2269600","3583","1405.7"
"167257000","2269600","3582","1415.1"
"168336000","2270300","3582","1423.7"
"169670000","2270300","3581","1434.6"
"170749000","2270300","3582","1443.2"
"171829000","2270300","3582","1452.1"
"172907000","2270300","3582","1461.1"
"173993000","2270300","3583","1470.1"
"175328000","2270300","3583","1480.6"
"176408000","2283200","3583","1490.0"
"177486000","2283200","3584","1499.0"
"178565000","2283200","3584","1507.1"
"179644000","2283200","3583","1516.0"
"180978000","2283200","3583","1527.0"
"182058000","2283200","3584","1535.6"
"183143000","2283200","3584","1544.5"
"184221000","2271800","3584","1553.9"
"185301000","2271800","3584","1562.4"
"186635000","2271800","3585","1573.0"
"187715000","2271800","3584","1582.0"
"188793000","2271800","3584","1590.9"
"189873000","2271800","3584","1599.9"
"190952000","2271800","3584","1608.4"
"192286000","2256700","3584","1619.4"
"193372000","2256700","3585","1628.4"
"194451000","2256700","3584","1636.9"
"195529000","2256700","3583","1645.9"
"196608000","2256700","3584","1654.8"
"197948000","2256700","3585","1665.4"
"199028000","2256700","3584","1674.4"
"200107000","2269600","3584","1683.3"
"201186000","2269600","3584","1692.3"
"202266000","2269600","3584","1700.8"
"203605000","2269600","3585","1712.2"
"204685000","2269600","3585","1720.8"
"205765000","2269600","3585","1729.7"
"206843000","2269600","3585","1738.3"
"207922000","2286000","3585","1747.6"
"209257000","2286000","3585","1758.6"
"210336000","2286000","3585","1766.8"
"211415000","2286000","3585","1775.7"
"212495000","2286000","3586","1784.7"
"213580000","2286000","3586","1793.6"
"214915000","2286000","3586","1804.2"
"215994000","2254800","3585","1813.2"
"217072000","2254800","3586","1822.1"
"218152000","2254800","3587","1831.1"
"219231000","2254800","3586","1840.0"
"220567000","2254800","3586","1850.6"
"221646000","2254800","3586","1859.1"
"222725000","2254800","3585","1868.1"
"223810000","2271100","3585","1877.1"
"224888000","2271100","3585","1886.0"
"226224000","2271100","3586","1896.6"
"227303000","2271100","3585","1905.5"
"228382000","2271100","3585","1914.5"
"229461000","2271100","3586","1923.9"
"230540000","2271100","3586","1932.4"
"231874000","2285200","3587","1943.4"
"232954000","2285200","3586","1951.9"
"234039000","2285200","3586","1961.3"
"235118000","2285200","3586","1969.4"
"236197000","2285200","3587","1978.4"
"237532000","2285200","3587","1989.0"
"238612000","2285200","3586","1997.9"
"239695000","2255000","3586","2006.9"
"240775000","2255000","3586","2015.4"
"241853000","2255000","3586","2024.8"
"243194000","2255000","3585","2035.4"
"244272000","2255000","3586","2044.3"
"245352000","2255000","3586","2052.9"
"246431000","2255000","3587","2062.2"
"247509000","2256900","3587","2070.4"
"248844000","2256900","3587","2081.4"
"249924000","2256900","3587","2090.3"
"251003000","2256900","3588","2099.3"
"252082000","2256900","3588","2107.8"
"253167000","2256900","3588","2116.8"
"254501000","2256900","3588","2127.8"
"255581000","2283200","3589","2136.7"
"256661000","2283200","3589","2145.3"
"257740000","2283200","3589","2154.2"
"258819000","2283200","3589","2163.2"
"260154000","2283200","3588","2173.8"
"261233000","2283200","3588","2182.7"
"262313000","2283200","3588","2191.7"
"263397000","2256300","3589","2200.2"
"264477000","2256300","3589","2209.2"
"265812000","2256300","3588","2220.2"
"266891000","2256300","3588","2229.1"
"267971000","2256300","3588","2238.1"
"269051000","2256300","3589","2246.6"
"270130000","2256300","3588","2256.0"
"271464000","2284600","3589","2266.6"
"272544000","2284600","3590","2275.5"
"273628000","2284600","3590","2284.5"
"274709000","2284600","3590","2293.4"
"275788000","2284600","3589","2302.0"
"277123000","2284600","3590","2313.4"
"278202000","2284600","3589","2321.9"
"279282000","2270500","3590","2330.5"
"280361000","2270500","3591","2339.4"
"281445000","2270500","3591","2348.4"
"282780000","2270500","3589","2358.9"
"283865000","2270500","3589","2367.9"
"284944000","2270500","3589","2376.9"
"286024000","2270500","3589","2385.4"
"287104000","2283700","3589","2394.8"
"288439000","2283700","3589","2405.8"
"289518000","2283700","3589","2414.3"
"290597000","2283700","3589","2423.3"
"291676000","2283700","3590","2431.8"
"292755000","2283700","3589","2440.8"
"294096000","2283700","3588","2451.7"
"295176000","2283000","3590","2461.1"
"296255000","2283000","3590","2469.2"
"297334000","2283000","3589","2478.2"
"298413000","2283000","3590","2487.2"
"299748000","2283000","3590","2497.7"
"300828000","2283000","3589","2506.7"
"301908000","2283000","3589","2515.6"
"302987000","2258000","3589","2524.6"
"304071000","2258000","3589","2533.1"
"305406000","2258000","3589","2544.1"
"306485000","2258000","3589","2553.1"
"307565000","2258000","3588","2562.0"
"308644000","2258000","3588","2570.6"
"309723000","2258000","3588","2579.5"
"311058000","2269000","3588","2590.5"
"312138000","2269000","3587","2599.1"
"313223000","2269000","3588","2608.0"
"314302000","2269000","3587","2617.0"
"315381000","2269000","3587","2625.9"
"316715000","2269000","3587","2636.5"
"317795000","2269000","3588","2645.5"
"318875000","2270900","3587","2654.4"
"319954000","2270900","3587","2663.0"
"321034000","2270900","3586","2671.9"
"322369000","2270900","3587","2682.9"
"323459000","2270900","3587","2691.5"
"324538000","2270900","3587","2700.4"
"325618000","2270900","3586","2709.4"
"326697000","2269200","3586","2718.3"
"328031000","2269200","3586","2728.9"
"329111000","2269200","3585","2737.9"
"330191000","2269200","3585","2746.8"
"331271000","2269200","3585","2755.4"
"332350000","2269200","3584","2764.3"
"333690000","2269200","3583","2775.3"
"334769000","2254800","3584","2783.9"
"335849000","2254800","3583","2792.8"
"336928000","2254800","3584","2802.2"
"338008000","2254800","3583","2810.7"
"339343000","2254800","3584","2821.3"
"340422000","2254800","3584","2830.3"
"341502000","2254800","3584","2839.2"
"342581000","2272000","3584","2847.8"
"343666000","2272000","3583","2856.7"
"345001000","2272000","3583","2868.1"
"346080000","2272000","3583","2876.7"
"347159000","2272000","3583","2885.2"
"348238000","2272000","3583","2894.6"
"349317000","2272000","3583","2903.1"
"350652000","2283500","3584","2914.1"
"351732000","2283500","3583","2922.6"
"352811000","2283500","3583","2932.0"
"353895000","2283500","3583","2940.6"
"354975000","2283500","3583","2949.1"
"356310000","2283500","3582","2960.1"
"357389000","2283500","3583","2969.0"
"358468000","2256300","3583","2977.6"
"359548000","2256300","3583","2986.5"
"360628000","2256300","3583","2995.5"
"361962000","2256300","3583","3006.1"
"363041000","2256300","3583","3015.0"
"364126000","2256300","3583","3024.0"
"365211000","2256300","3583","3032.9"
"366290000","2283900","3583","3041.9"
"367625000","2283900","3583","3052.5"
"368704000","2283900","3583","3061.4"
"369783000","2283900","3583","3070.0"
"370862000","2283900","3583","3078.9"
"371942000","2283900","3583","3087.9"
"373282000","2283900","3583","3098.9"
"374360000","2269400","3583","3107.8"
"375439000","2269400","3583","3116.8"
"376519000","2269400","3583","3125.3"
"377598000","2269400","3584","3133.9"
"378933000","2269400","3583","3144.9"
"380012000","2269400","3584","3153.4"
"381092000","2269400","3584","3162.4"
"382171000","2257800","3585","3171.3"
"383255000","2257800","3585","3180.3"
"384590000","2257800","3585","3190.9"
"385668000","2257800","3585","3199.8"
"386748000","2257800","3585","3208.4"
"387828000","2257800","3584","3217.3"
"388907000","2257800","3586","3226.7"
"390241000","2255500","3586","3236.8"
"391320000","2255500","3585","3245.8"
"392400000","2255500","3587","3255.2"
